stn;time;gre000m0;hto000m0;nto000m0;prestam0;sre000m0;tre200mn;tre200mx;ure200m0;rre150m0;tre200m0
OTL;187601;-;-;-;-;-;-;-;-;86.4;2.2
OTL;187602;-;-;-;-;-;-;-;-;2.3;5.1
OTL;187603;-;-;-;-;-;-;-;-;205.7;7.7
OTL;187604;-;-;-;-;-;-;-;-;459.2;11.1
OTL;187605;-;-;-;-;-;-;-;-;154.4;13.4
OTL;187606;-;-;-;-;-;-;-;-;158.3;19.0
OTL;187607;-;-;-;-;-;-;-;-;94.5;22.6
OTL;187608;-;-;-;-;-;-;-;-;292.0;21.2
OTL;187609;-;-;-;-;-;-;-;-;141.7;16.2
OTL;187610;-;-;-;-;-;-;-;-;124.2;14.1
OTL;187611;-;-;-;-;-;-;-;-;52.8;6.0
OTL;187612;-;-;-;-;-;-;-;-;-;4.9
OTL;187701;-;-;-;-;-;-;-;-;-;5.4
OTL;187702;-;-;-;-;-;-;-;-;-;6.2
OTL;187703;-;-;-;-;-;-;-;-;-;5.5
OTL;187704;-;-;-;-;-;-;-;-;-;11.9
OTL;187705;-;-;-;-;-;-;-;-;-;13.9
OTL;187706;-;-;-;-;-;-;-;-;-;21.9
OTL;187707;-;-;-;-;-;-;-;-;-;20.7
OTL;187708;-;-;-;-;-;-;-;-;-;22.1
OTL;187709;-;-;-;-;-;-;-;-;69.4;16.3
OTL;187710;-;-;-;-;-;-;-;-;44.2;9.9
OTL;187711;-;-;-;-;-;-;-;-;189.6;7.9
OTL;187712;-;-;-;-;-;-;-;-;30.0;3.3
OTL;187801;-;-;-;-;-;-;-;-;8.1;3.1
OTL;187802;-;-;-;-;-;-;-;-;0.0;5.7
OTL;187803;-;-;-;-;-;-;-;-;139.6;7.9
OTL;187804;-;-;-;-;-;-;-;-;89.3;11.9
OTL;187805;-;-;-;-;-;-;-;-;199.6;16.3
OTL;187806;-;-;-;-;-;-;-;-;177.9;18.7
OTL;187807;-;-;-;-;-;-;-;-;60.6;21.3
OTL;187808;-;-;-;-;-;-;-;-;568.7;20.4
OTL;187809;-;-;-;-;-;-;-;-;176.0;18.5
OTL;187810;-;-;-;-;-;-;-;-;403.1;12.6
OTL;187811;-;-;-;-;-;-;-;-;283.0;5.8
OTL;187812;-;-;-;-;-;-;-;-;22.9;1.5
OTL;187901;-;-;-;-;-;-;-;-;85.6;2.7
OTL;187902;-;-;-;-;-;-;-;-;71.5;5.5
OTL;187903;-;-;-;-;-;-;-;-;98.0;8.5
OTL;187904;-;-;-;-;-;-;-;-;326.7;9.8
OTL;187905;-;-;-;-;-;-;-;-;430.4;12.4
OTL;187906;-;-;-;-;-;-;-;-;195.0;19.4
OTL;187907;-;-;-;-;-;-;-;-;191.8;19.3
OTL;187908;-;-;-;-;-;-;-;-;185.7;22.2
OTL;187909;-;-;-;-;-;-;-;-;230.5;17.3
OTL;187910;-;-;-;-;-;-;-;-;13.5;11.7
OTL;187911;-;-;-;-;-;-;-;-;130.0;5.1
OTL;187912;-;-;-;-;-;-;-;-;0.0;-1.6
OTL;188001;-;-;-;-;-;-;-;-;5.0;0.2
OTL;188002;-;-;-;-;-;-;-;-;59.7;4.2
OTL;188003;-;-;-;-;-;-;-;-;6.6;9.3
OTL;188004;-;-;-;-;-;-;-;-;123.5;12.0
OTL;188005;-;-;-;-;-;-;-;-;74.1;15.6
OTL;188006;-;-;-;-;-;-;-;-;186.9;17.3
OTL;188007;-;-;-;-;-;-;-;-;90.3;22.6
OTL;188008;-;-;-;-;-;-;-;-;145.5;19.7
OTL;188009;-;-;-;-;-;-;-;-;171.6;17.7
OTL;188010;-;-;-;-;-;-;-;-;-;12.8
OTL;188011;-;-;-;-;-;-;-;-;177.4;7.3
