stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;ure200m0;sre000m0;tre200mn;tre200mx
LUG;188211;-;-;41;979.8;23.3;6.3;85.2;-;-2.2;16.4
LUG;188212;-;-;66;979.1;124.0;3.8;93.5;-;-4.0;11.5
LUG;188301;-;-;56;985.6;110.8;2.6;92.4;-;-5.2;13.5
LUG;188302;-;-;57;991.3;57.2;6.6;89.6;-;-1.5;21.4
LUG;188303;-;-;50;976.4;59.6;4.7;87.2;-;-6.0;20.8
LUG;188304;-;-;56;980.5;124.9;11.0;85.8;-;0.9;23.6
LUG;188305;-;-;56;981.1;182.1;16.1;86.6;-;2.3;29.6
LUG;188306;-;-;64;982.2;349.5;18.5;87.7;-;8.6;27.8
LUG;188307;-;-;45;982.4;331.3;20.8;85.6;-;9.8;31.3
LUG;188308;-;-;31;985.2;58.8;20.7;85.5;-;9.8;30.7
LUG;188309;-;-;55;982.0;303.4;16.7;90.9;-;4.6;24.7
LUG;188310;-;-;43;986.4;77.9;11.1;85.4;-;0.5;20.6
LUG;188311;-;-;43;986.5;82.2;5.9;79.8;-;-1.6;17.8
LUG;188312;-;-;38;986.1;6.0;2.3;79.6;-;-5.6;14.2
LUG;188401;-;-;18;991.7;4.7;3.4;72.1;-;-2.6;15.5
LUG;188402;-;-;53;989.3;38.5;4.9;80.2;-;-4.0;14.6
LUG;188403;-;-;41;984.0;13.8;9.3;69.6;-;1.5;20.2
LUG;188404;-;-;66;975.4;136.9;11.3;76.5;-;5.0;19.8
LUG;188405;-;-;46;985.3;155.8;17.1;72.1;-;6.0;27.3
LUG;188406;-;-;48;981.2;182.6;16.9;69.2;-;7.0;27.2
LUG;188407;-;-;32;985.0;145.7;22.4;66.1;-;12.0;32.4
LUG;188408;-;-;46;985.0;82.8;21.8;70.2;-;11.5;32.4
LUG;188409;-;-;62;988.1;181.9;17.1;82.5;-;9.3;26.0
LUG;188410;-;-;45;985.6;44.0;10.9;76.2;-;1.6;23.0
LUG;188411;-;-;30;988.7;2.8;4.8;74.8;-;-4.0;16.0
LUG;188412;-;-;53;983.8;46.8;3.4;74.9;-;-4.7;14.2
LUG;188501;-;-;48;985.1;74.0;0.9;80.6;-;-6.4;7.5
LUG;188502;-;-;46;985.0;127.9;4.7;79.8;-;-2.0;16.7
LUG;188503;-;-;64;981.9;97.4;7.8;72.7;-;0.0;17.8
LUG;188504;-;-;77;977.3;344.1;11.6;74.7;-;1.2;23.5
LUG;188505;-;-;65;980.9;179.3;13.9;70.0;11796;3.0;28.8
LUG;188506;-;-;35;984.1;32.2;21.7;59.6;19710;11.0;32.9
LUG;188507;-;-;41;985.6;120.3;23.0;68.0;19518;14.5;31.6
LUG;188508;-;-;51;981.5;214.9;21.0;73.0;15438;11.0;30.2
LUG;188509;-;-;45;984.2;320.5;17.4;76.7;12210;4.3;26.6
LUG;188510;-;-;63;979.4;325.0;10.7;81.7;7572;0.4;22.0
LUG;188511;-;-;69;983.7;108.3;7.5;83.9;4422;0.3;15.5
LUG;188512;-;-;30;989.4;10.3;1.9;74.4;8586;-6.3;14.1
LUG;188601;-;-;54;976.1;101.7;1.4;81.2;5256;-5.8;9.6
LUG;188602;-;-;54;984.7;17.5;3.0;78.6;7350;-5.5;11.6
LUG;188603;-;-;41;984.4;14.8;6.7;64.7;11850;-5.0;20.0
LUG;188604;-;-;62;982.0;117.9;12.2;70.3;10062;3.0;23.4
LUG;188605;-;-;44;984.5;142.0;16.1;64.1;16218;2.3;30.1
LUG;188606;-;-;60;979.5;116.1;18.3;72.6;12990;8.5;28.0
LUG;188607;-;-;38;983.8;130.7;21.6;70.9;18426;11.0;32.8
LUG;188608;-;-;48;983.5;127.9;20.8;74.8;16506;11.6;29.6
LUG;188609;-;-;37;987.0;74.1;18.9;77.5;13836;9.1;30.1
LUG;188610;-;-;63;984.8;355.4;13.0;84.9;7896;4.0;24.8
LUG;188611;-;-;55;984.7;326.8;7.1;82.3;6426;-2.0;17.6
LUG;188612;-;-;50;978.2;258.8;2.8;76.8;6144;-6.4;9.4
LUG;188701;-;-;30;987.0;89.7;-0.4;79.1;9294;-10.0;8.2
LUG;188702;-;-;39;992.8;7.7;1.6;74.8;10122;-8.5;15.0
LUG;188703;-;-;45;983.2;97.0;6.9;69.9;11550;-3.8;18.2
LUG;188704;-;-;63;982.1;220.1;10.4;67.9;10056;0.0;21.2
LUG;188705;-;-;70;981.9;140.6;13.9;67.7;9750;2.2;24.6
LUG;188706;-;-;40;985.7;71.6;20.7;68.0;18348;9.0;31.2
LUG;188707;-;-;49;985.7;105.4;23.0;71.8;17640;12.5;31.3
LUG;188708;-;-;38;983.3;207.4;21.3;70.7;17340;9.7;33.4
LUG;188709;-;-;53;982.4;325.0;16.9;82.0;12114;7.1;27.0
LUG;188710;-;-;48;983.3;114.5;9.5;71.7;10380;-1.5;19.2
LUG;188711;-;-;69;978.3;308.5;5.7;84.0;4440;-1.4;15.2
LUG;188712;-;-;42;980.1;44.1;1.6;72.0;7434;-8.0;12.4
LUG;188801;-;-;30;989.8;0.0;1.5;70.1;9420;-9.0;18.4
LUG;188802;-;-;65;977.0;391.0;2.5;75.9;6036;-9.0;19.4
LUG;188803;-;-;61;975.4;219.0;5.3;74.9;9090;-5.0;13.8
LUG;188804;-;-;65;978.2;304.9;10.3;68.4;8532;0.5;24.7
