stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;sre000m0;ure200m0
BER;187810;-;-;67;947.8;78.8;9.2;0.2;17.3;-;83.7
BER;187811;-;-;70;942.8;60.7;1.8;-4.2;9.0;-;85.1
BER;187812;-;-;78;942.0;109.2;-3.4;-16.6;8.7;-;88.0
BER;187901;-;-;78;947.7;53.0;-1.8;-10.2;10.1;-;85.3
BER;187902;-;-;85;937.3;109.2;1.7;-6.0;10.5;-;83.3
BER;187903;-;-;57;949.1;20.7;4.6;-6.5;15.9;-;75.9
BER;187904;-;-;79;939.5;71.6;6.1;-3.1;15.0;-;77.3
BER;187905;-;-;76;947.9;98.9;8.7;0.9;19.0;-;75.0
BER;187906;-;-;53;950.4;70.9;16.4;7.6;29.0;-;69.9
BER;187907;-;-;61;950.0;162.8;15.2;8.0;26.5;-;75.7
BER;187908;-;-;55;951.1;96.0;18.5;10.7;29.0;-;79.8
BER;187909;-;-;64;951.7;87.1;13.7;4.9;23.8;-;86.0
BER;187910;-;-;68;953.4;72.9;6.7;-1.2;16.6;-;89.2
BER;187911;-;-;78;952.2;72.0;-0.1;-9.4;9.1;-;86.6
BER;187912;-;-;58;958.5;29.9;-9.7;-19.6;4.8;-;84.5
BER;188001;-;-;73;959.8;20.5;-5.7;-17.4;5.1;-;87.2
BER;188002;-;-;55;950.1;29.2;0.4;-12.8;10.6;-;81.7
BER;188003;-;-;35;953.5;8.7;6.8;-2.2;18.6;-;70.8
BER;188004;-;-;74;944.8;81.5;8.8;1.5;19.9;-;79.9
BER;188005;-;-;59;947.7;22.5;11.3;2.0;26.5;-;72.7
BER;188006;-;-;67;948.4;130.9;14.4;5.9;25.9;-;75.4
BER;188007;-;-;49;950.9;103.0;18.9;11.5;29.4;-;72.4
BER;188008;-;-;62;948.3;132.9;16.3;8.3;25.0;-;81.0
BER;188009;-;-;53;951.9;74.9;14.1;4.2;25.0;-;83.6
BER;188010;-;-;79;946.9;161.6;9.0;-2.4;18.9;-;87.4
BER;188011;-;-;81;950.7;32.9;4.4;-3.1;11.9;-;84.4
BER;188012;-;-;81;952.1;55.1;4.4;-2.9;10.7;-;81.1
BER;188101;-;-;70;943.3;38.6;-3.7;-18.5;7.7;-;81.6
BER;188102;-;-;65;945.5;35.7;2.7;-7.9;11.5;-;78.1
BER;188103;-;-;62;948.1;57.7;5.7;-6.8;17.9;-;69.8
BER;188104;-;-;76;944.9;80.7;7.6;-0.2;17.4;-;79.6
BER;188105;-;-;52;951.0;36.1;11.5;1.2;23.0;-;69.4
BER;188106;-;-;58;949.5;75.5;15.4;3.7;26.2;-;72.4
BER;188107;-;-;41;952.8;54.7;20.7;9.0;30.6;-;62.9
BER;188108;-;-;59;949.7;166.0;17.6;8.9;31.0;-;73.2
BER;188109;-;-;68;949.6;185.8;11.9;4.4;20.2;-;84.6
BER;188110;-;-;79;946.8;53.1;5.2;-2.3;17.1;-;84.9
BER;188111;-;-;64;955.7;44.0;4.7;-2.7;15.1;-;88.0
BER;188112;-;-;66;952.4;27.9;-0.4;-11.1;7.8;-;87.4
BER;188201;-;-;79;963.3;7.1;-1.7;-7.8;7.1;-;90.6
BER;188202;-;-;60;959.1;19.7;0.7;-8.8;13.6;-;77.0
BER;188203;-;-;47;951.7;23.1;6.3;-1.2;17.3;-;72.9
BER;188204;-;-;54;945.2;59.6;8.2;-4.0;20.1;-;69.0
BER;188205;-;-;56;950.3;61.2;12.8;0.7;26.7;-;72.0
BER;188206;-;-;63;950.2;136.4;14.9;4.2;26.7;-;70.6
BER;188207;-;-;57;949.6;126.1;15.9;8.0;27.4;-;77.8
BER;188208;-;-;58;950.4;95.0;15.3;7.7;26.9;-;76.9
BER;188209;-;-;79;945.9;186.7;11.8;3.5;23.6;-;86.5
BER;188210;-;-;71;947.0;119.1;9.5;1.4;20.9;-;86.9
BER;188211;-;-;74;945.0;117.4;5.0;-4.1;14.2;-;82.0
BER;188212;-;-;82;943.1;87.1;0.9;-10.7;11.7;-;88.6
BER;188301;-;-;76;948.2;31.8;0.2;-9.4;13.2;-;86.8
BER;188302;-;-;59;954.7;33.3;3.1;-2.1;12.1;-;81.1
BER;188303;-;-;67;940.3;44.3;0.5;-11.2;13.4;-;75.2
BER;188304;-;-;58;944.4;32.6;7.7;-0.5;18.6;-;67.2
BER;188305;-;-;58;945.2;108.9;13.0;1.8;24.2;-;70.3
BER;188306;-;-;65;947.0;153.0;15.2;6.6;25.2;-;78.8
BER;188307;-;-;64;947.6;132.5;16.2;9.0;29.1;-;76.3
BER;188308;-;-;38;950.6;73.3;16.6;6.9;28.0;-;76.2
BER;188309;-;-;64;948.5;92.3;12.9;4.4;19.3;-;82.4
BER;188310;-;-;69;951.8;72.4;7.7;-0.7;16.9;-;85.2
BER;188311;-;-;78;950.7;71.8;4.7;-2.4;14.0;-;82.6
BER;188312;-;-;82;953.1;50.9;-0.2;-13.9;7.8;-;87.0
BER;188401;-;-;72;957.9;16.6;1.8;-4.1;10.9;-;85.5
BER;188402;-;-;68;951.5;60.3;2.6;-5.0;12.1;-;83.2
BER;188403;-;-;44;948.3;8.2;6.0;-2.2;16.5;-;72.0
BER;188404;-;-;68;940.6;28.2;7.5;-0.1;18.6;-;73.5
BER;188405;-;-;53;950.8;105.3;13.9;4.0;24.9;-;70.1
BER;188406;-;-;66;949.1;56.4;13.2;6.0;24.2;-;71.8
BER;188407;-;-;52;951.7;158.5;18.3;9.4;28.9;-;74.1
BER;188408;-;-;40;951.5;106.4;17.4;6.7;28.0;-;77.9
BER;188409;-;-;51;952.7;57.5;13.7;6.6;23.0;-;84.2
BER;188410;-;-;70;952.3;30.3;7.8;0.2;17.3;-;80.6
BER;188411;-;-;74;953.7;13.0;1.9;-6.0;12.1;-;85.8
BER;188412;-;-;79;947.8;66.0;0.7;-9.8;10.7;-;86.5
BER;188501;-;-;74;947.7;4.7;-4.1;-11.7;8.2;-;90.3
BER;188502;-;-;64;947.5;99.3;3.7;-3.6;14.7;-;86.3
BER;188503;-;-;68;947.3;50.8;4.0;-5.6;13.0;-;76.7
BER;188504;-;-;57;941.3;14.9;9.3;0.0;21.2;-;69.5
BER;188505;-;-;63;947.1;118.1;10.3;1.0;26.6;-;75.4
BER;188506;-;-;46;950.8;51.4;17.3;7.2;27.3;-;69.5
BER;188507;-;-;41;953.8;34.7;19.1;11.3;27.2;-;66.4
BER;188508;-;-;55;949.0;94.4;16.8;6.2;27.3;-;69.2
BER;188509;-;-;55;951.0;130.4;12.8;1.1;24.3;-;81.6
BER;188510;-;-;74;944.2;157.4;7.3;0.8;18.3;-;82.8
BER;188511;-;-;89;948.0;38.7;4.3;-1.8;15.0;-;88.6
BER;188512;-;-;82;955.3;51.7;-0.3;-16.2;14.2;-;88.5
BER;188601;-;-;80;941.7;56.1;-2.0;-14.1;5.3;-;86.2
BER;188602;-;-;76;949.5;34.2;-2.3;-10.6;7.8;-;82.2
BER;188603;-;-;51;948.6;40.3;3.0;-9.8;17.8;-;72.6
BER;188604;-;-;62;946.6;59.3;9.6;0.2;20.1;9468;72.6
BER;188605;-;-;48;949.8;68.1;12.6;-0.6;26.2;15000;67.0
BER;188606;-;-;73;948.3;108.3;14.4;6.2;25.1;8718;75.0
BER;188607;-;-;44;951.4;94.7;18.4;8.1;30.0;17664;69.6
BER;188608;-;-;55;951.9;127.0;17.2;9.1;28.8;13668;80.5
BER;188609;-;-;45;953.8;29.0;15.7;3.4;26.3;13602;81.5
BER;188610;-;-;72;949.3;109.8;9.6;1.2;21.6;6714;86.5
BER;188611;-;-;72;950.4;70.4;4.6;-2.7;11.9;5046;84.6
BER;188612;-;-;79;944.2;104.1;0.4;-11.7;10.3;1866;84.5
BER;188701;-;-;83;952.2;7.5;-4.3;-11.6;3.7;2940;86.4
BER;188702;-;-;48;958.0;5.4;-2.5;-12.1;8.0;8784;75.9
BER;188703;-;-;71;950.4;95.4;1.1;-15.1;11.8;6576;80.8
BER;188704;-;-;54;947.6;46.9;7.7;-4.0;20.0;11148;66.3
BER;188705;-;-;76;949.2;111.2;9.9;0.9;21.1;8622;75.9
BER;188706;-;-;35;954.3;64.3;17.4;7.3;27.1;19710;62.9
BER;188707;-;-;49;953.5;60.0;19.8;10.0;28.3;16068;72.0
BER;188708;-;-;43;951.7;108.0;16.8;5.8;28.5;16242;76.5
BER;188709;-;-;56;949.9;58.3;12.3;0.8;24.3;10596;80.8
BER;188710;-;-;69;950.8;55.6;4.9;-4.5;15.1;7344;84.1
BER;188711;-;-;78;943.0;41.5;2.2;-3.8;9.2;3252;90.0
BER;188712;-;-;74;946.9;77.9;-1.3;-16.5;9.6;2940;83.0
BER;188801;-;-;71;957.2;16.8;-3.3;-19.5;5.1;3984;88.3
BER;188802;-;-;85;943.4;64.3;-1.4;-15.1;5.6;2400;86.0
BER;188803;-;-;69;940.8;117.0;2.3;-10.2;12.5;5712;77.1
BER;188804;-;-;76;945.2;100.2;6.2;-2.8;17.2;5190;80.2
BER;188805;-;-;45;951.9;56.6;13.8;3.1;24.8;16482;66.2
BER;188806;-;-;60;949.7;138.5;16.3;7.2;29.3;12234;75.7
BER;188807;-;-;67;948.4;117.0;15.6;6.9;27.3;12264;76.3
BER;188808;-;-;54;953.4;146.8;15.6;7.0;27.1;12948;81.6
BER;188809;-;-;64;953.8;120.6;13.9;5.0;22.1;8688;87.3
BER;188810;-;-;47;952.4;174.1;5.5;-1.6;14.1;10176;85.1
BER;188811;-;-;80;950.0;44.8;3.8;-3.0;12.0;2976;88.1
BER;188812;-;-;65;953.1;13.1;-1.4;-7.9;6.6;4308;90.8
BER;188901;-;-;71;953.0;7.9;-2.9;-10.0;5.8;3522;84.0
BER;188902;-;-;73;944.6;68.6;-1.5;-13.9;9.0;3474;78.7
BER;188903;-;-;68;947.9;35.0;1.2;-10.8;11.2;4764;76.9
BER;188904;-;-;64;942.2;29.3;7.1;-0.2;17.0;9504;75.0
BER;188905;-;-;64;946.1;56.1;13.8;4.5;25.0;9522;78.6
BER;188906;-;-;72;949.5;176.4;17.0;10.9;26.0;9126;80.7
BER;188907;-;-;50;950.6;110.2;17.2;8.9;30.0;15588;74.3
BER;188908;-;-;52;952.0;94.6;16.0;6.5;26.8;13110;79.0
BER;188909;-;-;55;950.9;81.4;12.0;0.3;25.3;10884;81.1
BER;188910;-;-;79;945.2;170.4;7.9;1.1;14.3;4254;89.1
BER;188911;-;-;83;957.7;45.4;2.6;-5.3;11.9;3414;89.9
BER;188912;-;-;83;955.6;27.2;-3.5;-13.4;4.9;1680;85.1
BER;189001;-;-;68;954.5;44.2;0.3;-7.6;9.4;4392;85.1
BER;189002;-;-;69;952.1;10.1;-3.2;-12.2;4.2;4416;84.5
BER;189003;-;-;52;946.7;21.0;3.6;-14.0;18.2;11166;74.5
BER;189004;-;-;61;943.1;53.5;7.5;-1.2;17.2;10002;72.9
BER;189005;-;-;60;944.4;101.3;13.5;3.8;23.0;12090;75.5
BER;189006;-;-;57;952.7;103.8;15.3;5.3;28.8;12564;71.2
BER;189007;-;-;55;950.7;94.3;16.2;6.9;28.8;13584;75.1
BER;189008;-;-;60;950.0;228.1;16.4;5.2;28.0;12408;80.9
BER;189009;-;-;44;956.3;26.3;12.5;4.5;21.4;13392;81.7
BER;189010;-;-;53;953.7;90.2;6.7;-3.6;21.3;9234;82.4
BER;189011;-;-;78;947.4;51.8;3.1;-9.6;12.1;4644;85.9
BER;189012;-;-;92;946.5;9.2;-5.1;-10.9;1.5;654;90.6
BER;189101;-;-;64;952.0;23.8;-6.3;-19.8;4.7;5190;84.0
BER;189102;-;-;28;961.6;2.8;-2.3;-12.0;8.4;10422;79.6
BER;189103;-;-;68;945.2;45.0;3.0;-5.0;11.1;7020;77.1
BER;189104;-;-;67;946.4;62.8;6.0;-3.2;19.6;7578;74.7
BER;189105;-;-;73;944.7;64.5;12.3;-0.1;22.2;8424;75.8
BER;189106;-;-;60;950.4;113.2;15.9;5.1;29.2;11466;73.9
BER;189107;-;-;63;951.0;155.0;16.7;10.2;30.2;10974;77.1
BER;189108;-;-;57;950.6;86.0;15.8;8.4;27.1;13596;77.4
BER;189109;-;-;46;954.3;74.7;13.8;4.1;24.7;13422;83.5
BER;189110;-;-;53;947.7;88.5;9.2;-3.3;19.3;9228;83.5
BER;189111;-;-;71;947.4;88.2;2.7;-6.0;10.2;4542;84.3
BER;189112;-;-;68;955.3;80.6;0.7;-11.3;10.1;4920;83.6
BER;189201;-;-;83;946.7;42.1;-1.6;-12.6;9.4;2352;84.8
BER;189202;-;-;72;943.3;37.4;1.2;-11.7;8.9;4296;81.0
BER;189203;-;-;58;946.0;25.9;0.8;-11.6;15.8;6936;77.5
BER;189204;-;-;59;947.3;45.9;8.5;-0.3;19.4;10860;71.5
BER;189205;-;-;54;949.9;29.1;12.7;0.7;27.6;14502;67.6
BER;189206;-;-;61;951.2;80.8;16.5;8.9;27.6;11982;71.4
BER;189207;-;-;50;950.6;82.8;17.4;10.1;27.9;16043;72.8
BER;189208;-;-;43;951.5;56.3;18.1;9.9;29.7;17190;71.9
BER;189209;-;-;60;953.0;100.1;14.1;6.7;23.2;10800;84.2
BER;189210;-;-;80;944.8;122.2;7.9;-1.5;18.7;4644;84.0
BER;189211;-;-;83;953.1;34.3;5.8;-3.1;16.8;2862;89.4
BER;189212;-;-;77;948.9;16.3;-2.1;-9.9;7.2;1224;86.5
BER;189301;-;-;74;949.0;35.2;-6.1;-17.2;6.0;4230;85.2
BER;189302;-;-;71;947.8;67.8;1.5;-9.8;8.3;4068;80.6
BER;189303;-;-;42;954.2;25.0;5.7;-4.3;14.2;13932;70.3
BER;189304;-;-;27;951.4;0.0;11.8;-0.1;23.3;18750;54.2
BER;189305;-;-;57;950.1;27.6;13.2;0.0;23.1;14466;64.1
BER;189306;-;-;49;949.8;74.5;16.7;6.6;27.3;15900;62.7
BER;189307;-;-;68;949.6;114.6;17.8;10.3;27.1;12690;71.9
