stn;time;gre000m0;hto000m0;nto000m0;ure200m0;prestam0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx
ALT;186902;-;-;-;-;970.7;37.4;6.7;-;-;-
ALT;186903;-;-;-;-;952.6;143.2;2.2;-;-;-
ALT;186904;-;-;-;-;964.2;142.5;10.7;-;-;-
ALT;186905;-;-;-;-;959.6;119.5;15.6;-;-;-
ALT;186906;-;-;-;-;965.4;164.9;14.3;-;-;-
ALT;186907;-;-;-;-;966.6;145.8;20.4;-;-;-
ALT;186908;-;-;-;-;967.4;233.5;16.1;-;-;-
ALT;186909;-;-;-;-;965.4;58.8;15.5;-;-;-
ALT;186910;-;-;-;-;966.5;86.3;7.5;-;-;-
ALT;186911;-;-;-;-;964.2;125.4;5.0;-;-;-
ALT;186912;-;-;-;-;959.9;104.9;0.9;-;-;-
ALT;187001;-;-;-;-;965.5;26.0;-0.2;-;-;-
ALT;187002;-;-;-;-;959.0;20.0;0.7;-;-;-
ALT;187003;-;-;-;-;960.9;69.9;3.4;-;-;-
ALT;187004;-;-;-;-;968.0;63.1;9.1;-;-;-
ALT;187005;-;-;-;-;966.3;37.3;15.1;-;-;-
ALT;187006;-;-;-;-;967.0;87.3;17.3;-;-;-
ALT;187007;-;-;-;-;964.5;67.4;19.9;-;-;-
ALT;187008;-;-;-;-;961.5;208.5;15.7;-;-;-
ALT;187009;-;-;-;-;968.6;98.8;13.3;-;-;-
ALT;187010;-;-;-;-;962.0;283.6;9.0;-;-;-
ALT;187011;-;-;-;-;959.7;177.4;6.2;-;-;-
ALT;187012;-;-;-;-;957.0;88.5;-1.5;-;-;-
ALT;187101;-;-;-;-;959.4;48.4;-2.8;-;-;-
ALT;187102;-;-;-;-;970.1;83.9;2.2;-;-;-
ALT;187103;-;-;-;-;967.8;48.0;6.1;-;-;-
ALT;187104;-;-;-;-;963.6;203.7;9.8;-;-;-
ALT;187105;-;-;-;-;965.2;105.4;12.8;-;-;-
ALT;187106;-;-;-;-;963.6;231.7;13.7;-;-;-
ALT;187107;-;-;-;-;964.8;94.3;18.9;-;-;-
ALT;187108;-;-;-;-;970.4;160.8;17.7;-;-;-
ALT;187109;-;-;-;-;965.5;24.1;16.7;-;-;-
ALT;187110;-;-;-;-;966.8;129.7;7.7;-;-;-
ALT;187111;-;-;-;-;960.7;53.4;2.9;-;-;-
ALT;187112;-;-;-;-;968.5;7.7;-5.6;-;-;-
ALT;187201;-;-;-;-;960.3;31.4;2.3;-;-;-
ALT;187202;-;-;-;-;965.7;64.2;2.1;-;-;-
ALT;187203;-;-;-;-;961.9;90.7;6.8;-;-;-
ALT;187204;-;-;-;-;962.6;163.7;10.4;-;-;-
ALT;187205;-;-;-;-;963.8;254.7;12.9;-;-;-
ALT;187206;-;-;-;-;967.3;173.2;15.7;-;-;-
ALT;187207;-;-;-;-;967.6;164.2;18.6;-;-;-
ALT;187208;-;-;-;-;967.5;207.9;16.0;-;-;-
ALT;187209;-;-;-;-;967.8;54.8;15.1;-;-;-
ALT;187210;-;-;-;-;961.5;240.9;12.3;-;-;-
ALT;187211;-;-;-;-;963.4;63.2;7.9;-;-;-
ALT;187212;-;-;-;-;959.2;127.4;5.7;-;-;-
ALT;187301;-;-;-;-;964.2;21.7;2.4;-;-;-
ALT;187302;-;-;-;-;964.6;24.0;1.7;-;-;-
ALT;187303;-;-;-;-;958.8;57.2;7.9;-;-;-
ALT;187304;-;-;-;-;959.5;130.0;8.2;-;-;-
ALT;187305;-;-;-;-;963.3;145.8;11.2;-;-;-
ALT;187306;-;-;-;-;965.3;68.6;17.1;-;-;-
ALT;187307;-;-;-;-;967.8;219.6;19.9;-;-;-
ALT;187308;-;-;-;-;968.1;190.9;19.0;-;-;-
ALT;187309;-;-;-;-;966.6;137.4;14.2;-;-;-
ALT;187310;-;-;-;-;963.1;212.1;10.2;-;-;-
ALT;187311;-;-;-;-;962.0;76.5;5.8;-;-;-
ALT;187312;-;-;-;-;973.2;55.8;-0.1;-;-;-
ALT;187401;-;-;-;-;970.8;14.4;0.5;-;-;-
ALT;187402;-;-;-;-;966.5;28.9;1.6;-;-;-
ALT;187403;-;-;-;-;970.4;44.7;4.4;-;-;-
ALT;187404;-;-;-;-;960.8;112.9;11.0;-;-;-
ALT;187405;-;-;-;-;960.6;114.3;10.3;-;-;-
ALT;187406;-;-;-;-;967.4;201.9;17.3;-;-;-
ALT;187407;-;-;-;-;967.0;291.4;20.3;-;-;-
ALT;187408;-;-;-;-;966.3;207.5;16.9;-;-;-
ALT;187409;-;-;-;-;967.6;48.9;17.0;-;-;-
ALT;187410;-;-;-;-;966.3;65.5;10.3;-;-;-
ALT;187411;-;-;-;-;962.5;276.6;1.7;-;-;-
ALT;187412;-;-;-;-;954.8;77.8;-0.3;-;-;-
ALT;187501;-;-;-;-;967.9;129.2;1.8;-;-;-
ALT;187502;-;-;-;-;960.8;49.9;-1.0;-;-;-
ALT;187503;-;-;-;-;965.5;50.0;3.4;-;-;-
ALT;187504;-;-;-;-;-;39.9;9.6;-;-;-
ALT;187505;-;-;-;-;-;95.2;15.1;-;-;-
ALT;187506;-;-;-;-;964.2;130.7;17.8;-;-;-
ALT;187507;-;-;-;-;-;190.0;17.4;-;-;-
ALT;187508;-;-;-;-;-;165.0;18.9;-;-;-
ALT;187509;-;-;-;-;-;170.0;16.1;-;-;-
ALT;187510;-;-;-;-;-;200.0;9.0;-;-;-
ALT;187511;-;-;-;-;-;130.0;4.0;-;-;-
ALT;187512;-;-;-;-;-;25.0;-1.5;-;-;-
ALT;187601;-;-;-;-;970.9;59.5;-0.4;-;-;-
ALT;187602;-;-;-;-;961.9;169.6;2.2;-;-;-
ALT;187603;-;-;-;-;954.5;187.6;5.7;-;-;-
ALT;187604;-;-;-;-;960.0;128.1;10.0;-;-;-
ALT;187605;-;-;-;-;962.6;121.7;10.4;-;-;-
ALT;187606;-;-;-;-;962.3;264.3;16.5;-;-;-
ALT;187607;-;-;-;-;967.2;115.9;18.7;-;-;-
ALT;187608;-;-;-;-;964.7;161.8;18.6;-;-;-
ALT;187609;-;-;-;-;962.8;167.8;13.6;-;-;-
ALT;187610;-;-;-;-;963.5;21.1;12.4;-;-;-
ALT;187611;-;-;-;-;962.3;89.5;3.7;-;-;-
ALT;187612;-;-;-;-;955.5;66.5;4.8;-;-;-
ALT;187701;-;-;-;-;965.9;74.4;4.6;-;-;-
ALT;187702;-;-;-;-;964.3;180.7;3.8;-;-;-
ALT;187703;-;-;-;-;956.1;78.0;4.2;-;-;-
ALT;187704;-;-;-;-;-;86.5;9.1;-;-;-
ALT;187705;-;-;-;-;960.0;104.5;11.4;-;-;-
ALT;187706;-;-;-;-;966.4;119.2;19.5;-;-;-
ALT;187707;-;-;-;-;965.7;249.2;17.9;-;-;-
ALT;187708;-;-;-;-;964.7;128.3;19.3;-;-;-
ALT;187709;-;-;-;-;965.0;40.7;13.2;-;-;-
ALT;187710;-;-;-;-;967.0;73.1;7.6;-;-;-
ALT;187711;-;-;-;-;961.8;114.7;6.0;-;-;-
ALT;187712;-;-;-;-;965.7;113.7;1.2;-;-;-
ALT;187801;-;-;-;-;968.4;60.5;-1.6;-;-;-
ALT;187802;-;-;-;-;973.6;16.9;0.9;-;-;-
ALT;187803;-;-;-;-;964.0;159.9;3.8;-;-;-
ALT;187804;-;-;-;-;959.4;96.6;9.6;-;-;-
ALT;187805;-;-;-;-;961.1;97.4;14.7;-;-;-
ALT;187806;-;-;-;-;963.7;151.7;16.4;-;-;-
ALT;187807;-;-;-;-;964.6;202.3;17.3;-;-;-
ALT;187808;-;-;-;-;961.2;137.7;17.9;-;-;-
ALT;187809;-;-;-;-;965.0;112.0;14.5;-;-;-
ALT;187810;-;-;-;-;962.0;99.9;11.3;-;-;-
ALT;187811;-;-;-;-;957.1;98.6;4.7;-;-;-
ALT;187812;-;-;-;-;956.2;70.8;-0.9;-;-;-
ALT;187901;-;-;-;-;962.4;45.0;1.3;-;-;-
ALT;187902;-;-;-;-;951.6;67.5;3.3;-;-;-
ALT;187903;-;-;-;-;963.0;32.7;6.2;-;-;-
ALT;187904;-;-;-;-;952.8;136.5;8.2;-;-;-
ALT;187905;-;-;-;-;961.2;128.0;9.9;-;-;-
ALT;187906;-;-;-;-;963.7;125.5;16.9;-;-;-
ALT;187907;-;-;-;-;963.2;195.1;15.6;-;-;-
ALT;187908;-;-;-;-;964.1;134.8;19.5;-;-;-
ALT;187909;-;-;-;-;965.0;140.3;14.6;-;-;-
ALT;187910;-;-;-;-;967.1;90.2;8.2;-;-;-
ALT;187911;-;-;-;-;966.0;117.8;2.3;-;-;-
ALT;187912;-;-;-;-;972.6;33.1;-4.8;-;-;-
ALT;188001;-;-;-;-;973.9;21.7;-3.2;-;-;-
ALT;188002;-;-;-;-;963.8;25.6;1.9;-;-;-
ALT;188003;-;-;-;-;967.1;50.4;7.0;-;-;-
ALT;188004;-;-;-;-;959.0;105.3;10.2;-;-;-
ALT;188005;-;-;-;-;961.6;37.8;12.2;-;-;-
ALT;188006;-;-;-;-;962.3;151.9;15.1;-;-;-
ALT;188007;-;-;-;-;964.7;144.8;19.0;-;-;-
ALT;188008;-;-;-;-;962.4;139.4;16.8;-;-;-
ALT;188009;-;-;-;-;966.4;115.7;15.2;-;-;-
ALT;188010;-;-;-;-;961.6;187.5;10.7;-;-;-
ALT;188011;-;-;-;-;965.5;44.3;5.9;-;-;-
ALT;188012;-;-;-;-;966.6;108.2;4.9;-;-;-
ALT;188101;-;-;-;-;958.3;28.0;-0.7;-;-;-
ALT;188102;-;-;-;-;960.2;54.4;2.9;-;-;-
ALT;188103;-;-;-;-;962.7;66.7;6.7;-;-;-
ALT;188104;-;-;-;-;959.4;97.9;8.7;-;-;-
ALT;188105;-;-;-;-;965.3;69.4;12.7;-;-;-
ALT;188106;-;-;-;-;963.8;137.1;15.9;-;-;-
ALT;188107;-;-;-;-;966.8;119.3;20.5;-;-;-
ALT;188108;-;-;-;-;963.6;210.4;18.4;-;-;-
ALT;188109;-;-;-;-;964.0;190.1;13.2;-;-;-
ALT;188110;-;-;-;-;961.2;88.9;7.3;-;-;-
ALT;188111;-;-;-;-;970.4;22.8;5.9;-;-;-
ALT;188112;-;-;-;-;967.2;52.5;0.9;-;-;-
ALT;188201;-;-;-;-;978.3;21.7;0.0;-;-;-
ALT;188202;-;-;-;-;973.2;22.3;1.4;-;-;-
ALT;188203;-;-;-;-;966.7;44.5;6.9;-;-;-
ALT;188204;-;-;-;-;959.7;73.6;9.3;-;-;-
ALT;188205;-;-;-;-;962.6;85.4;13.8;-;-;-
ALT;188206;-;-;-;-;962.4;172.9;15.2;-;-;-
ALT;188207;-;-;-;-;961.7;154.0;16.6;-;-;-
ALT;188208;-;-;-;-;961.8;127.4;15.9;-;-;-
ALT;188209;-;-;-;-;958.4;274.8;12.8;-;-;-
ALT;188210;-;-;-;-;959.9;159.7;10.7;-;-;-
ALT;188211;-;-;-;-;957.5;108.7;5.6;-;-;-
ALT;188212;-;-;-;-;956.2;185.3;2.7;-;-;-
ALT;188301;-;-;-;-;962.1;45.5;2.9;-;-;-
ALT;188302;-;-;-;-;969.0;21.1;4.7;-;-;-
ALT;188303;-;-;-;-;954.6;38.1;2.1;-;-;-
ALT;188304;-;-;-;-;958.9;33.3;9.2;-;-;-
ALT;188305;-;-;-;-;959.7;136.0;13.4;-;-;-
ALT;188306;-;-;-;-;961.4;120.8;15.7;-;-;-
ALT;188307;-;-;-;-;962.1;139.8;16.8;-;-;-
ALT;188308;-;-;-;-;965.1;70.7;17.0;-;-;-
ALT;188309;-;-;-;-;960.9;91.6;14.2;-;-;-
ALT;188310;-;-;-;-;964.2;90.0;8.5;-;-;-
ALT;188311;-;-;-;-;962.9;83.6;5.0;-;-;-
ALT;188312;-;-;-;-;965.3;148.0;0.2;-;-;-
ALT;188401;-;-;-;-;968.9;31.3;2.2;-;-;-
ALT;188402;-;-;-;-;962.4;23.8;4.4;-;-;-
ALT;188403;-;-;-;-;959.4;19.1;7.4;-;-;-
ALT;188404;-;-;-;-;951.7;65.8;9.1;-;-;-
ALT;188405;-;-;-;-;961.7;69.0;14.7;-;-;-
ALT;188406;-;-;-;-;960.0;147.0;13.4;-;-;-
ALT;188407;-;-;-;-;962.4;130.9;18.9;-;-;-
ALT;188408;-;-;-;-;962.5;132.2;18.1;-;-;-
ALT;188409;-;-;-;-;964.0;83.7;15.2;-;-;-
ALT;188410;-;-;-;-;963.6;66.5;8.9;-;-;-
ALT;188411;-;-;-;-;965.5;29.9;3.0;-;-;-
ALT;188412;-;-;-;-;959.2;76.4;1.9;-;-;-
ALT;188501;-;-;-;-;959.9;7.3;-1.3;-;-;-
ALT;188502;-;-;-;-;959.4;45.3;6.0;-;-;-
ALT;188503;-;-;-;-;959.3;27.7;5.4;-;-;-
ALT;188504;-;-;-;-;952.8;49.0;10.7;-;-;-
ALT;188505;-;-;-;-;958.4;148.5;10.9;-;-;-
ALT;188506;-;-;-;-;961.4;46.4;18.3;-;-;-
ALT;188507;-;-;-;-;964.6;93.9;19.4;-;-;-
ALT;188508;-;-;-;-;959.7;140.8;17.7;-;-;-
ALT;188509;-;-;-;-;961.9;170.0;14.1;-;-;-
ALT;188510;-;-;-;-;955.5;203.1;8.4;-;-;-
ALT;188511;-;-;-;-;958.9;97.9;5.0;-;-;-
ALT;188512;-;-;-;-;967.0;104.8;0.2;-;-;-
ALT;188601;-;-;-;-;952.9;49.5;0.3;-;-;-
ALT;188602;-;-;-;-;961.2;50.5;-0.6;-;-;-
ALT;188603;-;-;-;-;960.4;31.9;4.1;-;-;-
ALT;188604;-;-;-;-;957.9;101.2;11.0;-;-;-
ALT;188605;-;-;-;-;961.1;109.0;14.3;-;-;-
ALT;188606;-;-;-;-;958.9;205.1;14.7;-;-;-
ALT;188607;-;-;-;-;961.7;147.2;18.7;-;-;-
ALT;188608;-;-;-;-;962.0;176.0;17.6;-;-;-
ALT;188609;-;-;-;-;963.8;48.0;16.7;-;-;-
ALT;188610;-;-;-;-;959.6;82.9;11.1;-;-;-
ALT;188611;-;-;-;-;960.9;138.2;5.3;-;-;-
ALT;188612;-;-;-;-;954.3;105.8;2.5;-;-;-
ALT;188701;-;-;-;-;963.1;12.1;-2.1;-;-;-
ALT;188702;-;-;-;-;968.9;11.2;0.1;-;-;-
ALT;188703;-;-;-;-;960.8;98.9;2.3;-;-;-
ALT;188704;-;-;-;-;957.8;49.9;9.0;-;-;-
ALT;188705;-;-;-;-;959.2;168.2;10.8;-;-;-
ALT;188706;-;-;-;-;964.0;80.2;17.4;-;-;-
ALT;188707;-;-;-;-;963.2;120.1;19.5;-;-;-
ALT;188708;-;-;-;-;961.4;129.8;17.7;-;-;-
ALT;188709;-;-;-;-;960.6;98.4;13.8;-;-;-
ALT;188710;-;-;-;-;961.7;86.5;6.2;-;-;-
ALT;188711;-;-;-;-;953.4;25.4;5.1;-;-;-
ALT;188712;-;-;-;-;957.5;139.7;0.3;-;-;-
ALT;188801;-;-;-;-;968.3;27.7;-0.8;-;-;-
ALT;188802;-;-;-;-;954.2;61.0;0.7;-;-;-
ALT;188803;-;-;-;-;951.2;112.3;4.4;-;-;-
ALT;188804;-;-;-;-;955.7;102.5;7.5;-;-;-
ALT;188805;-;-;-;-;962.4;65.5;14.6;-;-;-
ALT;188806;-;-;-;-;959.8;114.5;16.9;-;-;-
ALT;188807;-;-;-;-;958.6;196.6;16.3;-;-;-
ALT;188808;-;-;-;-;963.9;206.1;16.2;-;-;-
ALT;188809;-;-;-;-;964.8;154.3;14.8;-;-;-
ALT;188810;-;-;-;-;963.6;81.9;6.9;-;-;-
ALT;188811;-;-;-;-;960.8;51.7;6.1;-;-;-
ALT;188812;-;-;-;-;964.4;8.6;2.2;-;-;-
ALT;188901;-;-;-;-;964.5;21.5;-0.6;-;-;-
ALT;188902;-;-;-;-;955.1;152.7;-0.5;-;-;-
ALT;188903;-;-;-;-;958.9;58.9;3.0;-;-;-
ALT;188904;-;-;-;-;952.8;107.1;7.9;-;-;-
ALT;188905;-;-;-;-;956.9;50.1;15.0;-;-;-
ALT;188906;-;-;-;-;959.8;124.6;17.8;-;-;-
ALT;188907;-;-;-;-;961.2;123.3;17.4;-;-;-
ALT;188908;-;-;-;-;962.7;130.8;16.8;-;-;-
ALT;188909;-;-;-;-;961.9;113.4;12.8;-;-;-
ALT;188910;-;-;-;-;956.3;240.0;9.1;-;-;-
ALT;188911;-;-;-;-;969.0;45.2;3.8;-;-;-
ALT;188912;-;-;-;-;967.2;23.4;-1.6;-;-;-
ALT;189001;-;-;-;-;965.4;75.7;2.7;-;-;-
ALT;189002;-;-;-;-;963.6;1.4;-0.8;-;-;-
ALT;189003;-;-;-;-;957.7;41.2;5.2;-;-;-
ALT;189004;-;-;-;-;953.9;90.2;8.8;-;-;-
ALT;189005;-;-;-;-;955.0;67.2;14.8;-;-;-
ALT;189006;-;-;-;-;963.3;146.2;15.3;-;-;-
ALT;189007;-;-;-;-;961.2;137.2;16.2;-;-;-
ALT;189008;-;-;-;-;960.9;307.8;16.9;-;-;-
ALT;189009;-;-;-;-;967.2;39.9;14.3;-;-;-
ALT;189010;-;-;-;-;964.6;131.9;7.8;-;-;-
ALT;189011;-;-;-;-;958.3;67.2;4.4;-;-;-
ALT;189012;-;-;-;-;957.9;13.5;-2.0;-;-;-
ALT;189101;-;-;-;-;963.4;62.5;-4.1;-;-;-
ALT;189102;-;-;-;-;973.4;17.6;-1.2;-;-;-
ALT;189103;-;-;-;-;955.9;90.1;5.2;-;-;-
ALT;189104;-;-;-;-;957.4;78.7;6.6;-;-;-
ALT;189105;-;-;-;-;955.3;106.6;13.2;-;-;-
ALT;189106;-;-;-;-;960.9;121.3;16.5;-;-;-
ALT;189107;-;-;-;-;961.5;236.1;16.9;-;-;-
ALT;189108;-;-;-;-;961.2;130.9;16.3;-;-;-
ALT;189109;-;-;-;-;964.7;96.4;15.2;-;-;-
ALT;189110;-;-;-;-;958.4;96.1;11.6;-;-;-
ALT;189111;-;-;-;-;958.4;87.2;4.5;-;-;-
ALT;189112;-;-;-;-;966.3;191.5;1.8;-;-;-
ALT;189201;-;-;-;-;957.3;81.3;0.3;-;-;-
ALT;189202;-;-;-;-;953.8;125.3;3.7;-;-;-
ALT;189203;-;-;-;-;956.8;31.5;3.2;-;-;-
ALT;189204;-;-;-;-;958.0;66.0;8.9;-;-;-
ALT;189205;-;-;-;-;960.4;45.5;13.7;-;-;-
ALT;189206;-;-;-;-;961.7;187.3;16.4;-;-;-
ALT;189207;-;-;-;-;961.1;181.0;17.4;-;-;-
ALT;189208;-;-;-;-;961.7;142.5;19.2;-;-;-
ALT;189209;-;-;-;-;963.2;130.3;14.9;-;-;-
ALT;189210;-;-;-;-;955.5;107.5;10.4;-;-;-
ALT;189211;-;-;-;-;966.7;32.8;7.1;-;-;-
ALT;189212;-;-;-;-;963.7;42.6;0.0;-;-;-
ALT;189301;-;-;-;-;963.7;80.0;-3.1;-;-;-
ALT;189302;-;-;-;-;961.6;82.4;3.9;-;-;-
ALT;189303;-;-;-;-;968.5;29.8;6.6;-;-;-
ALT;189304;-;-;-;-;965.3;11.3;12.4;-;-;-
ALT;189305;-;-;-;-;964.0;109.7;13.9;-;-;-
ALT;189306;-;-;-;-;963.5;95.1;16.8;-;-;-
ALT;189307;-;-;-;-;963.1;225.3;18.2;-;-;-
ALT;189308;-;-;-;-;966.8;55.0;18.6;-;-;-
ALT;189309;-;-;-;-;963.4;124.2;15.2;-;-;-
ALT;189310;-;-;-;-;965.3;78.9;12.5;-;-;-
ALT;189311;-;-;-;-;961.7;108.0;4.9;-;-;-
ALT;189312;-;-;-;-;968.3;19.5;2.4;-;-;-
ALT;189401;-;-;-;-;965.2;9.9;0.3;-;-;-
ALT;189402;-;-;-;-;969.9;84.9;2.3;-;-;-
ALT;189403;-;-;-;-;963.9;46.7;6.5;-;-;-
ALT;189404;-;-;-;-;960.6;51.1;12.0;-;-;-
ALT;189405;-;-;-;-;960.1;103.6;13.0;-;-;-
ALT;189406;-;-;-;-;965.9;83.7;16.0;-;-;-
ALT;189407;-;-;-;-;964.8;188.7;18.9;-;-;-
ALT;189408;-;-;-;-;966.3;129.5;17.5;-;-;-
ALT;189409;-;-;-;-;965.9;98.7;13.8;-;-;-
ALT;189410;-;-;-;-;962.9;75.6;10.7;-;-;-
ALT;189411;-;-;-;-;967.4;31.8;6.6;-;-;-
ALT;189412;-;-;-;-;966.6;75.5;0.9;-;-;-
ALT;189501;-;-;-;-;952.4;64.0;-1.2;-;-;-
ALT;189502;-;-;-;-;959.1;21.7;-3.3;-;-;-
ALT;189503;-;-;-;-;957.8;90.4;4.5;-;-;-
ALT;189504;-;-;-;-;960.7;57.0;10.6;-;-;-
ALT;189505;-;-;-;-;963.6;100.7;13.8;-;-;-
ALT;189506;-;-;-;-;965.0;137.8;17.2;-;-;-
ALT;189507;-;-;-;-;964.4;129.7;19.4;-;-;-
ALT;189508;-;-;-;-;966.4;115.4;17.9;-;-;-
ALT;189509;-;-;-;-;970.0;9.5;17.6;-;-;-
ALT;189510;-;-;-;-;961.1;86.5;10.9;-;-;-
ALT;189511;-;-;-;-;965.9;42.7;8.2;-;-;-
ALT;189512;-;-;-;-;959.5;122.9;3.3;-;-;-
ALT;189601;-;-;-;-;972.8;27.6;-0.1;-;-;-
ALT;189602;-;-;-;-;972.5;41.5;0.8;-;-;-
ALT;189603;-;-;-;-;961.3;225.4;7.8;-;-;-
ALT;189604;-;-;-;-;966.2;155.7;7.6;-;-;-
ALT;189605;-;-;-;-;963.7;85.0;12.0;-;-;-
ALT;189606;-;-;-;-;963.1;116.9;17.1;-;-;-
ALT;189607;-;-;-;-;965.1;169.3;18.4;-;-;-
ALT;189608;-;-;-;-;964.1;180.2;15.7;-;-;-
ALT;189609;-;-;-;-;962.9;136.6;14.5;-;-;-
ALT;189610;-;-;-;-;959.2;185.9;10.2;-;-;-
ALT;189611;-;-;-;-;963.7;69.4;4.4;-;-;-
ALT;189612;-;-;-;-;960.8;33.3;3.1;-;-;-
ALT;189701;-;-;-;-;957.7;21.1;2.3;-;-;-
ALT;189702;-;-;-;-;969.9;164.3;4.9;-;-;-
ALT;189703;-;-;-;-;960.0;68.8;8.6;-;-;-
ALT;189704;-;-;-;-;960.0;68.9;10.0;-;-;-
ALT;189705;-;-;-;-;960.4;82.3;12.1;-;-;-
ALT;189706;-;-;-;-;965.5;137.7;18.1;-;-;-
ALT;189707;-;-;-;-;964.3;163.5;19.2;-;-;-
ALT;189708;-;-;-;-;964.1;199.3;18.1;-;-;-
ALT;189709;-;-;-;-;965.4;270.1;13.6;-;-;-
ALT;189710;-;-;-;-;968.8;17.7;9.7;-;-;-
ALT;189711;-;-;-;-;971.7;15.9;5.3;-;-;-
ALT;189712;-;-;-;-;967.4;34.5;2.4;-;-;-
ALT;189801;-;-;-;-;975.8;9.0;2.4;-;-;-
ALT;189802;-;-;-;-;963.2;164.5;2.3;-;-;-
ALT;189803;-;-;-;-;956.1;43.4;5.3;-;-;-
ALT;189804;-;-;-;-;961.1;88.8;10.3;-;-;-
ALT;189805;-;-;-;-;959.7;149.0;13.3;-;-;-
ALT;189806;-;-;-;-;964.0;174.0;15.5;-;-;-
ALT;189807;-;-;-;-;966.4;195.7;16.8;-;-;-
ALT;189808;-;-;-;-;967.2;86.1;19.3;-;-;-
ALT;189809;-;-;-;-;967.7;45.9;16.3;-;-;-
ALT;189810;-;-;-;-;961.6;140.1;11.8;-;-;-
ALT;189811;-;-;-;-;961.6;146.3;8.2;-;-;-
ALT;189812;-;-;-;-;971.9;58.0;1.9;-;-;-
