stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx;ure200m0
GRH;189302;-;-;-;-;-;-;-;-;-;-
GRH;189303;-;-;-;-;-;-;-;-;-;-
GRH;189304;-;-;-;-;-;-;-;-;-;-
GRH;189305;-;-;-;-;-;-;-;-;-;-
GRH;189306;-;-;-;-;-;-;-;-;-;-
GRH;189307;-;-;-;-;-;-;-;-;-;-
GRH;189308;-;-;-;-;-;-;-;-;-;-
GRH;189309;-;-;-;-;-;-;-;-;-;-
GRH;189310;-;-;-;-;-;-;-;-;-;-
GRH;189311;-;-;-;-;-;-;-;-;-;-
GRH;189312;-;-;-;-;-;-;-;-;-;-
GRH;189401;-;-;-;-;-;-;-;-;-;-
GRH;189402;-;-;-;-;-;-;-;-;-;-
GRH;189403;-;-;-;-;-;-;-;-;-;-
GRH;189404;-;-;-;-;-;-;-;-;-;-
GRH;189405;-;-;-;-;-;-;-;-;-;-
GRH;189406;-;-;-;-;-;-;-;-;-;-
GRH;189407;-;-;-;-;-;-;-;-;-;-
GRH;189408;-;-;-;-;-;-;-;-;-;-
GRH;189409;-;-;-;-;-;-;-;-;-;-
GRH;189410;-;-;-;-;-;-;-;-;-;-
GRH;189411;-;-;-;-;-;-;-;-;-;-
GRH;189412;-;-;-;-;-;-;-;-;-;-
GRH;189501;-;-;-;-;-;-;-;-;-;-
GRH;189502;-;-;-;-;-;-;-;-;-;-
GRH;189503;-;-;-;-;-;-;-;-;-;-
GRH;189504;-;-;-;-;-;-;-;-;-;-
GRH;189505;-;-;-;-;-;-;-;-;-;-
GRH;189506;-;-;-;-;-;-;-;-;-;-
GRH;189507;-;-;-;-;-;-;-;-;-;-
GRH;189508;-;-;-;-;-;-;-;-;-;-
GRH;189509;-;-;-;-;-;-;-;-;-;-
GRH;189510;-;-;-;-;-;-;-;-;-;-
GRH;189511;-;-;-;-;-;-;-;-;-;-
GRH;189512;-;-;-;-;-;-;-;-;-;-
GRH;189601;-;-;-;-;-;-;-;-;-;-
GRH;189602;-;-;-;-;-;-;-;-;-;-
GRH;189603;-;-;-;-;-;-;-;-;-;-
GRH;189604;-;-;-;-;-;-;-;-;-;-
GRH;189605;-;-;-;-;-;-;-;-;-;-
GRH;189606;-;-;-;-;-;-;-;-;-;-
GRH;189607;-;-;-;-;-;-;-;-;-;-
GRH;189608;-;-;-;-;-;-;-;-;-;-
GRH;189609;-;-;-;-;-;-;-;-;-;-
GRH;189610;-;-;-;-;-;-;-;-;-;-
GRH;189611;-;-;-;-;-;-;-;-;-;-
GRH;189612;-;-;-;-;-;-;-;-;-;-
GRH;189701;-;-;-;-;-;-;-;-;-;-
GRH;189702;-;-;-;-;-;-;-;-;-;-
GRH;189703;-;-;-;-;-;-;-;-;-;-
GRH;189704;-;-;-;-;-;-;-;-;-;-
GRH;189705;-;-;-;-;-;-;-;-;-;-
GRH;189706;-;-;-;-;-;-;-;-;-;-
GRH;189707;-;-;-;-;-;-;-;-;-;-
GRH;189708;-;-;-;-;-;-;-;-;-;-
GRH;189709;-;-;-;-;-;-;-;-;-;-
GRH;189710;-;-;-;-;-;-;-;-;-;-
GRH;189711;-;-;-;-;-;-;-;-;-;-
GRH;189712;-;-;-;-;-;-;-;-;-;-
GRH;189801;-;-;-;-;-;-;-;-;-;-
GRH;189802;-;-;-;-;-;-;-;-;-;-
GRH;189803;-;-;-;-;-;-;-;-;-;-
GRH;189804;-;-;-;-;-;-;-;-;-;-
GRH;189805;-;-;-;-;-;-;-;-;-;-
GRH;189806;-;-;-;-;-;-;-;-;-;-
GRH;189807;-;-;-;-;-;-;-;-;-;-
GRH;189808;-;-;-;-;-;-;-;-;-;-
GRH;189809;-;-;-;-;-;-;-;-;-;-
GRH;189810;-;-;-;-;-;-;-;-;-;-
GRH;189811;-;-;-;-;-;-;-;-;-;-
GRH;189812;-;-;-;-;-;-;-;-;-;-
GRH;189901;-;-;-;-;-;-;-;-;-;-
GRH;189902;-;-;-;-;-;-;-;-;-;-
GRH;189903;-;-;-;-;-;-;-;-;-;-
GRH;189904;-;-;-;-;-;-;-;-;-;-
GRH;189905;-;-;-;-;-;-;-;-;-;-
GRH;189906;-;-;-;-;-;-;-;-;-;-
GRH;189907;-;-;-;-;-;-;-;-;-;-
GRH;189908;-;-;-;-;-;-;-;-;-;-
GRH;189909;-;-;-;-;-;-;-;-;-;-
GRH;189910;-;-;-;-;-;-;-;-;-;-
GRH;189911;-;-;-;-;-;-;-;-;-;-
GRH;189912;-;-;-;-;-;-;-;-;-;-
GRH;190001;-;-;-;-;-;-;-;-;-;-
GRH;190002;-;-;-;-;-;-;-;-;-;-
GRH;190003;-;-;-;-;-;-;-;-;-;-
GRH;190004;-;-;-;-;-;-;-;-;-;-
GRH;190005;-;-;-;-;-;-;-;-;-;-
GRH;190006;-;-;-;-;-;-;-;-;-;-
GRH;190007;-;-;-;-;-;-;-;-;-;-
GRH;190008;-;-;-;-;-;-;-;-;-;-
GRH;190009;-;-;-;-;-;-;-;-;-;-
GRH;190010;-;-;-;-;-;-;-;-;-;-
GRH;190011;-;-;-;-;-;-;-;-;-;-
GRH;190012;-;-;-;-;-;-;-;-;-;-
GRH;190101;-;-;-;-;-;-;-;-;-;-
GRH;190102;-;-;-;-;-;-;-;-;-;-
GRH;190103;-;-;-;-;-;-;-;-;-;-
GRH;190104;-;-;-;-;-;-;-;-;-;-
