stn;time;gre000m0;hto000m0;nto000m0;prestam0;tre200mn;tre200mx;rre150m0;tre200m0;sre000m0;ure200m0
SIO;195307;-;-;-;960.7;6.0;30.8;-;-;-;-
SIO;195308;-;-;-;963.0;5.5;30.5;-;-;-;-
SIO;195309;-;-;-;961.3;4.0;28.8;-;-;-;-
SIO;195310;-;-;-;962.0;-1.4;22.0;-;-;-;-
SIO;195311;-;-;-;968.8;-5.5;14.8;-;-;-;-
SIO;195312;-;-;-;966.1;-11.0;14.5;-;-;-;-
SIO;195401;-;-;-;959.9;-14.2;10.0;-;-;-;-
SIO;195402;-;-;-;954.1;-12.5;13.0;-;-;-;-
SIO;195403;-;-;-;954.3;-4.5;20.2;-;-;-;-
SIO;195404;-;-;-;960.0;-2.1;21.0;-;-;-;-
SIO;195405;-;-;-;957.1;-1.0;28.5;-;-;-;-
SIO;195406;-;-;-;959.2;4.0;31.2;-;-;-;-
SIO;195407;-;-;-;959.7;2.6;29.8;-;-;-;-
SIO;195408;-;-;-;958.9;4.9;31.0;-;-;-;-
SIO;195409;-;-;-;963.2;-0.5;28.2;-;-;-;-
SIO;195410;-;-;-;964.1;-1.2;21.0;-;-;-;-
SIO;195411;-;-;-;960.7;-8.8;16.6;-;-;-;-
SIO;195412;-;-;-;962.1;-7.4;11.4;-;-;-;-
SIO;195501;-;-;-;955.3;-11.5;15.6;-;-;-;-
SIO;195502;-;-;-;949.9;-11.5;15.0;-;-;-;-
SIO;195503;-;-;-;956.2;-10.8;21.5;-;-;-;-
SIO;195504;-;-;-;962.8;-4.0;26.4;-;-;-;-
SIO;195505;-;-;-;960.8;-0.2;29.0;-;-;-;-
SIO;195506;-;-;-;960.3;2.0;29.4;-;-;-;-
SIO;195507;-;-;-;960.0;4.8;31.5;-;-;-;-
SIO;195508;-;-;-;961.5;4.2;28.4;-;-;-;-
SIO;195509;-;-;-;961.8;0.1;24.6;-;-;-;-
SIO;195510;-;-;-;959.8;-4.8;18.8;-;-;-;-
SIO;195511;-;-;-;962.7;-12.3;20.7;-;-;-;-
SIO;195512;-;-;-;959.8;-7.3;12.6;-;-;-;-
SIO;195601;-;-;-;959.4;-14.0;9.5;-;-;-;-
SIO;195602;-;-;-;956.6;-17.0;10.7;-;-;-;-
SIO;195603;-;-;-;959.1;-7.5;20.2;-;-;-;-
SIO;195604;-;-;-;954.6;-6.8;21.5;-;-;-;-
SIO;195605;-;-;-;963.4;0.8;31.7;-;-;-;-
SIO;195606;-;-;-;961.7;1.5;27.3;-;-;-;-
SIO;195607;-;-;-;960.7;7.3;29.5;-;-;-;-
SIO;195608;-;-;-;958.9;3.5;29.6;-;-;-;-
SIO;195609;-;-;-;962.4;6.4;26.5;-;-;-;-
SIO;195610;-;-;-;965.3;-2.6;23.5;-;-;-;-
SIO;195611;-;-;-;961.8;-9.2;15.4;-;-;-;-
SIO;195612;-;-;-;967.1;-13.0;10.3;-;-;-;-
SIO;195701;-;-;-;966.6;-16.6;9.2;-;-;-;-
SIO;195702;-;-;-;958.3;-7.0;16.8;-;-;-;-
SIO;195703;-;-;-;960.6;-4.2;22.6;-;-;-;-
SIO;195704;-;-;-;958.6;-4.5;23.4;-;-;-;-
SIO;195705;-;-;-;957.0;-2.3;25.0;-;-;-;-
SIO;195706;-;-;-;960.7;5.0;32.0;-;-;-;-
SIO;195707;-;-;-;960.6;6.5;34.4;-;-;-;-
SIO;195708;-;-;-;960.5;5.0;30.6;-;-;-;-
SIO;195709;-;-;-;961.4;0.2;27.4;-;-;-;-
SIO;195710;-;-;-;963.1;0.0;22.3;-;-;-;-
SIO;195711;-;-;-;961.2;-7.4;18.0;-;-;-;-
SIO;195712;-;-;-;960.1;-10.0;13.4;-;-;-;-
SIO;195801;-;-;53;959.9;-14.9;10.6;59.0;-1.9;-;-
SIO;195802;-;-;69;959.5;-9.5;17.5;139.4;2.9;-;-
SIO;195803;-;-;64;953.2;-6.2;19.0;20.6;3.2;-;-
SIO;195804;-;-;60;956.8;-3.4;22.5;4.2;7.7;-;-
SIO;195805;-;-;65;961.1;3.0;31.0;18.6;15.8;-;-
SIO;195806;-;-;64;958.4;5.4;28.0;49.8;16.1;-;-
SIO;195807;-;-;58;960.0;8.5;32.6;54.7;18.9;-;-
SIO;195808;-;-;55;959.6;8.0;34.0;37.7;18.6;-;-
SIO;195809;-;-;50;962.4;3.9;27.8;46.8;16.3;-;-
SIO;195810;-;-;61;965.1;-2.7;22.0;47.8;8.4;-;-
SIO;195811;-;-;76;962.3;-4.8;13.4;30.7;3.4;-;-
SIO;195812;-;-;65;953.9;-11.2;12.0;75.9;1.2;-;-
SIO;195901;-;-;61;960.0;-11.5;10.0;80.1;-0.7;-;81.7
SIO;195902;-;-;19;972.3;-9.2;16.0;0.2;2.7;-;75.2
SIO;195903;-;-;64;959.0;-3.0;21.2;15.9;8.6;-;68.0
SIO;195904;-;-;51;955.6;-2.6;25.6;71.9;10.2;-;68.9
SIO;195905;-;-;53;957.3;1.5;27.0;21.6;14.5;-;67.3
SIO;195906;-;-;61;961.7;3.2;30.6;55.1;17.7;-;70.2
SIO;195907;-;-;41;961.2;9.6;32.0;50.4;20.1;-;69.8
SIO;195908;-;-;45;960.9;5.5;30.2;59.7;18.3;-;74.3
SIO;195909;-;-;53;961.8;6.5;27.5;25.7;16.3;-;78.2
SIO;195910;-;-;40;962.6;-1.2;21.6;50.9;8.9;-;81.1
SIO;195911;-;-;50;958.8;-6.7;14.6;16.3;3.2;-;80.6
SIO;195912;-;-;69;954.3;-9.0;11.6;155.3;1.9;-;83.9
SIO;196001;-;-;56;959.7;-13.6;14.6;33.1;-0.2;-;79.1
SIO;196002;-;-;61;956.1;-9.8;18.6;89.7;2.7;-;76.7
SIO;196003;-;-;56;954.7;-2.4;19.4;27.6;7.5;-;66.8
SIO;196004;-;-;53;959.0;0.2;22.8;2.7;10.0;-;64.2
SIO;196005;-;-;48;959.7;-0.2;30.6;51.9;15.1;-;65.7
SIO;196006;-;-;51;961.7;5.2;30.4;55.6;18.0;-;69.6
SIO;196007;-;-;61;960.0;5.8;27.6;90.6;16.8;-;71.7
SIO;196008;-;-;55;959.2;6.0;30.8;97.7;16.8;-;74.3
SIO;196009;-;-;59;959.5;3.6;25.2;79.3;13.0;-;80.5
SIO;196010;-;-;65;953.8;-2.7;23.6;63.4;9.3;-;77.1
SIO;196011;-;-;65;958.0;-1.8;16.3;86.1;5.2;-;81.7
SIO;196012;-;-;65;954.3;-10.4;9.8;18.9;0.0;-;82.4
SIO;196101;-;-;66;960.1;-13.0;7.8;77.4;-1.2;-;88.0
SIO;196102;-;-;53;968.3;-4.0;19.9;70.6;4.7;-;74.8
SIO;196103;-;-;26;968.1;-4.2;22.6;2.3;7.0;-;65.1
SIO;196104;-;-;63;955.5;1.6;25.6;52.7;12.0;-;70.3
SIO;196105;-;-;59;958.2;0.0;27.0;20.8;12.7;-;66.6
SIO;196106;-;-;51;960.5;6.8;31.0;41.4;17.8;-;68.2
SIO;196107;-;-;50;960.9;7.2;31.2;58.7;17.6;-;67.5
SIO;196108;-;-;40;963.3;5.0;31.6;40.1;17.4;-;70.0
SIO;196109;-;-;43;963.0;6.0;30.7;27.1;17.6;-;71.2
SIO;196110;-;-;49;960.0;-2.4;23.4;67.1;9.7;-;80.5
SIO;196111;-;-;50;956.6;-6.0;15.2;25.6;3.4;-;79.1
SIO;196112;-;-;58;959.1;-9.5;13.2;132.4;1.2;-;83.9
SIO;196201;-;-;64;963.4;-11.0;9.7;126.4;0.5;-;82.3
SIO;196202;-;-;54;963.6;-10.6;11.0;49.3;0.7;-;73.5
SIO;196203;-;-;56;952.3;-8.4;15.7;75.0;3.0;-;65.8
SIO;196204;-;-;54;958.3;-2.4;26.0;30.4;9.6;-;57.7
SIO;196205;-;-;59;959.3;-1.2;29.6;29.5;12.5;-;63.4
SIO;196206;-;-;44;962.5;3.0;32.7;30.6;17.2;-;58.2
SIO;196207;-;-;48;960.4;4.6;34.0;17.4;18.5;-;62.4
SIO;196208;-;-;31;961.8;8.0;33.4;16.0;19.7;-;61.3
SIO;196209;-;-;41;960.4;0.8;31.2;20.5;14.9;-;69.5
SIO;196210;-;-;34;962.9;-3.4;24.8;6.6;9.6;-;77.8
SIO;196211;-;-;56;956.1;-8.5;19.4;32.9;2.8;-;78.2
SIO;196212;-;-;54;958.7;-18.0;11.0;97.5;-3.5;-;87.2
SIO;196301;-;-;61;958.2;-17.0;9.8;31.9;-4.7;-;81.4
SIO;196302;-;-;58;951.0;-18.4;9.8;29.6;-2.6;-;75.1
SIO;196303;-;-;63;958.5;-9.2;16.4;111.1;4.0;-;70.7
SIO;196304;-;-;64;954.3;-0.8;24.1;15.4;10.7;-;61.2
SIO;196305;-;-;56;957.4;0.0;27.0;13.4;13.5;-;61.8
SIO;196306;-;-;64;956.9;7.6;32.8;81.0;16.8;-;66.3
SIO;196307;-;-;45;960.3;9.5;31.7;60.1;19.7;-;66.2
SIO;196308;-;-;58;958.0;5.5;31.8;105.6;16.8;-;69.1
SIO;196309;-;-;49;961.8;2.6;27.0;12.8;14.6;-;71.0
SIO;196310;-;-;39;964.6;-2.2;21.4;40.4;9.2;-;73.7
SIO;196311;-;-;64;956.8;-2.6;19.4;88.8;6.2;-;76.7
SIO;196312;-;-;40;960.1;-13.5;13.0;1.7;-2.2;-;75.3
SIO;196401;-;-;39;971.7;-13.8;11.5;2.2;-3.9;-;80.8
SIO;196402;-;-;44;960.0;-10.6;19.6;5.6;2.7;-;65.3
SIO;196403;-;-;74;954.0;-6.0;17.5;38.0;5.0;-;70.2
SIO;196404;-;-;55;958.1;1.0;23.2;45.8;10.8;-;57.6
SIO;196405;-;-;56;961.4;3.4;28.5;56.6;15.3;-;61.1
SIO;196406;-;-;45;959.7;5.8;33.4;33.8;18.5;-;60.5
SIO;196407;-;-;36;962.1;8.2;35.2;37.3;20.6;-;55.6
SIO;196408;-;-;48;960.0;8.5;32.0;51.7;18.2;-;61.5
SIO;196409;-;-;38;964.4;0.5;29.2;53.5;15.1;-;69.1
SIO;196410;-;-;59;959.4;-2.0;22.6;71.5;8.0;-;75.1
SIO;196411;-;-;59;963.4;-3.6;16.4;50.6;4.3;-;82.2
SIO;196412;-;-;59;958.8;-11.4;8.4;16.6;-1.3;-;79.2
SIO;196501;-;-;63;957.4;-11.0;12.4;48.4;-0.3;-;74.5
SIO;196502;-;-;26;962.2;-11.8;9.5;2.9;-1.9;-;64.4
SIO;196503;-;-;54;959.6;-8.8;21.2;74.9;5.4;-;62.7
SIO;196504;-;-;64;955.7;-0.6;21.1;29.8;8.6;-;59.1
SIO;196505;-;-;59;958.4;2.0;28.6;81.6;13.4;-;59.4
SIO;196506;-;-;58;959.4;4.5;35.4;49.6;17.5;-;61.9
SIO;196507;-;-;55;959.4;4.0;30.7;140.8;17.2;-;65.7
SIO;196508;-;-;53;960.4;5.8;32.4;91.1;16.6;-;66.0
SIO;196509;-;-;54;958.2;2.6;25.0;73.6;12.3;-;75.2
SIO;196510;-;-;33;964.1;-1.6;23.4;1.6;9.1;-;81.3
SIO;196511;-;-;75;954.9;-7.0;17.6;129.8;3.9;-;85.9
SIO;196512;-;-;78;956.1;-8.4;8.7;196.4;0.6;-;90.1
SIO;196601;-;-;53;957.9;-20.4;11.4;56.5;-3.0;-;84.8
SIO;196602;-;-;69;954.3;-2.4;16.8;99.9;5.5;-;77.0
SIO;196603;-;-;50;962.5;-5.3;16.0;31.4;4.6;-;71.6
SIO;196604;-;-;58;955.2;-0.2;22.0;59.5;10.8;-;70.6
SIO;196605;-;-;50;960.5;2.2;30.4;10.3;14.4;-;66.6
SIO;196606;-;-;51;960.0;5.4;32.8;16.4;18.5;-;64.8
SIO;196607;-;-;51;958.5;7.6;32.6;52.0;17.5;-;69.6
SIO;196608;-;-;58;959.5;4.5;32.8;75.9;16.7;-;74.5
SIO;196609;-;-;33;961.9;5.0;31.8;12.1;15.7;-;76.8
SIO;196610;-;-;61;954.7;0.6;27.6;49.8;11.9;-;83.1
SIO;196611;-;-;68;958.7;-7.5;17.2;45.0;2.4;-;79.6
SIO;196612;-;-;69;959.0;-13.0;10.2;97.3;0.1;-;86.8
SIO;196701;-;-;44;964.2;-13.4;13.8;29.3;-1.0;-;81.1
SIO;196702;-;-;40;963.0;-8.6;16.0;88.6;2.3;-;72.7
SIO;196703;-;-;60;963.8;-3.0;19.4;61.5;7.0;-;69.4
SIO;196704;-;-;43;957.1;-2.6;23.0;7.4;9.0;-;61.3
SIO;196705;-;-;59;957.9;-2.0;29.0;53.7;13.9;-;61.9
SIO;196706;-;-;50;962.5;4.3;34.4;36.2;16.8;-;62.9
SIO;196707;-;-;39;962.6;7.6;32.8;45.1;20.6;-;66.5
SIO;196708;-;-;50;961.1;5.8;31.4;75.9;18.3;-;72.8
SIO;196709;-;-;60;960.4;3.5;28.8;35.7;14.0;-;78.5
SIO;196710;-;-;36;962.5;-2.0;27.2;32.4;11.1;-;77.3
SIO;196711;-;-;53;961.7;-5.4;16.0;37.1;4.5;-;84.5
SIO;196712;-;-;51;961.5;-13.2;7.6;35.2;-2.5;-;84.7
SIO;196801;-;-;64;962.1;-20.5;5.6;117.3;-2.4;-;86.9
SIO;196802;-;-;63;956.0;-7.8;15.6;29.7;2.1;-;80.2
SIO;196803;-;-;44;960.9;-5.2;24.2;9.5;6.2;-;65.2
SIO;196804;-;-;50;958.5;-1.6;29.6;31.7;11.5;-;62.6
SIO;196805;-;-;60;958.3;0.4;26.2;18.1;13.6;-;66.1
SIO;196806;-;-;55;960.4;6.4;33.5;23.4;17.2;-;65.0
SIO;196807;-;-;45;962.2;7.2;36.3;57.2;18.9;-;66.4
SIO;196808;-;-;63;959.3;6.0;27.4;83.3;16.4;-;77.2
SIO;196809;-;-;56;960.4;3.8;25.5;102.4;13.9;-;78.1
SIO;196810;-;-;45;964.8;0.2;23.4;20.0;11.1;-;80.8
SIO;196811;-;-;58;957.8;-5.3;19.6;104.4;4.0;-;85.5
SIO;196812;-;-;64;955.9;-12.0;8.2;87.4;-0.1;-;81.8
SIO;196901;-;-;54;960.0;-11.5;10.4;19.9;-0.1;-;80.7
SIO;196902;-;-;61;953.1;-10.5;13.2;28.5;-0.5;-;73.0
SIO;196903;-;-;63;954.2;-2.5;17.0;15.9;5.7;-;70.2
SIO;196904;-;-;61;959.1;-3.2;24.6;68.0;9.2;-;65.7
SIO;196905;-;-;50;957.8;2.6;32.7;31.7;14.6;-;65.0
SIO;196906;-;-;61;958.2;4.8;28.0;75.4;15.3;-;69.8
SIO;196907;-;-;43;964.7;5.4;31.8;70.0;19.4;-;69.4
SIO;196908;-;-;54;960.4;4.8;30.4;74.2;17.5;-;72.6
SIO;196909;-;-;45;961.4;6.0;27.4;37.9;15.2;-;78.8
SIO;196910;-;-;23;966.3;0.0;23.8;0.7;10.0;-;77.6
SIO;196911;-;-;53;957.6;-6.8;17.4;93.8;3.9;-;78.7
SIO;196912;-;-;48;956.9;-14.7;4.6;29.4;-5.0;-;83.1
SIO;197001;-;-;66;954.8;-12.0;12.0;36.5;0.5;-;80.3
SIO;197002;-;-;81;956.3;-12.2;13.8;190.0;0.9;-;78.6
SIO;197003;-;-;64;956.0;-10.6;17.4;67.6;2.6;-;71.3
SIO;197004;-;-;69;959.1;-4.0;25.8;68.3;7.5;-;64.2
SIO;197005;-;-;56;959.5;0.0;26.5;39.5;13.0;-;64.2
SIO;197006;-;-;56;961.1;6.8;31.6;69.4;18.3;-;68.3
SIO;197007;-;-;45;961.2;4.4;32.0;26.6;18.5;-;66.3
SIO;197008;-;-;54;960.4;6.0;32.0;74.0;18.0;-;74.2
SIO;197009;-;-;33;963.5;3.6;30.2;25.5;15.8;-;73.9
SIO;197010;-;-;43;964.9;-2.4;26.2;26.4;8.7;-;80.3
SIO;197011;-;-;53;961.6;-3.5;19.0;62.8;5.4;-;79.7
SIO;197012;-;-;44;963.8;-13.2;11.8;10.0;-1.1;-;82.7
SIO;197101;-;-;45;958.5;-15.5;12.4;50.1;-2.2;-;84.4
SIO;197102;-;-;45;962.4;-5.2;10.2;8.1;1.5;-;74.4
SIO;197103;-;-;48;955.9;-14.0;17.6;70.8;2.2;-;67.2
SIO;197104;-;-;46;954.9;0.0;25.6;20.7;12.6;-;57.0
SIO;197105;-;-;70;956.0;4.2;29.8;64.2;15.3;-;66.6
SIO;197106;-;-;63;958.2;5.6;28.8;82.4;16.0;-;68.5
SIO;197107;-;-;35;961.8;7.0;33.8;23.4;20.7;-;64.0
SIO;197108;-;-;45;960.5;10.0;34.6;98.5;19.8;-;70.7
SIO;197109;-;-;35;964.6;2.0;26.2;20.9;14.4;-;74.1
SIO;197110;-;-;31;969.1;-0.4;23.2;11.8;10.0;-;78.4
SIO;197111;-;-;61;958.7;-13.0;14.8;109.1;2.4;-;83.2
SIO;197112;-;-;44;969.7;-9.0;10.0;4.9;-0.9;-;86.3
SIO;197201;-;-;61;957.4;-10.4;9.0;16.8;0.1;-;80.0
SIO;197202;-;-;64;955.9;-5.6;17.0;30.4;4.7;-;71.0
SIO;197203;-;-;49;957.9;-1.6;21.0;9.7;7.7;-;65.0
SIO;197204;-;-;65;954.5;-0.6;24.8;39.2;9.4;-;67.5
SIO;197205;-;-;65;957.7;0.0;25.6;28.2;13.4;-;64.0
SIO;197206;-;-;60;959.3;5.0;29.5;45.2;16.2;-;66.7
SIO;197207;-;-;53;960.9;6.4;32.6;22.8;19.0;-;65.9
SIO;197208;-;-;49;961.4;5.8;32.0;33.7;17.6;-;69.7
SIO;197209;-;-;50;961.2;0.6;26.6;10.7;12.3;-;72.9
SIO;197210;-;-;43;962.4;0.0;23.2;22.0;9.0;-;76.3
SIO;197211;-;-;51;964.0;-5.8;16.6;169.7;4.1;-;81.2
SIO;197212;-;-;36;967.9;-9.0;14.2;15.5;0.6;-;75.8
SIO;197301;-;-;56;965.5;-8.6;9.4;17.4;-0.4;-;83.1
SIO;197302;-;-;49;959.3;-10.0;9.5;36.1;-0.5;-;75.0
SIO;197303;-;-;36;964.4;-8.0;20.4;4.3;4.7;-;63.1
SIO;197304;-;-;60;957.8;-5.5;23.6;39.5;7.5;-;59.7
SIO;197305;-;-;61;960.9;2.6;27.5;30.2;15.4;-;61.9
SIO;197306;-;-;51;961.5;6.0;30.4;79.9;18.1;-;67.2
SIO;197307;-;-;54;958.7;7.0;32.2;102.9;18.4;-;69.1
SIO;197308;-;-;49;962.6;11.0;32.0;29.8;20.0;-;71.4
SIO;197309;-;-;43;961.3;3.0;30.0;36.2;15.4;-;73.5
SIO;197310;-;-;44;962.7;-3.0;24.0;51.2;8.6;-;77.1
SIO;197311;-;-;38;966.1;-9.0;14.6;28.7;3.3;-;77.2
SIO;197312;-;-;58;960.7;-17.5;13.6;28.1;0.5;-;76.9
SIO;197401;-;-;60;965.4;-5.6;14.2;11.4;2.6;-;78.6
SIO;197402;-;-;69;954.9;-4.2;14.6;45.3;3.8;-;75.7
SIO;197403;-;-;65;957.3;-3.6;22.8;44.1;7.8;-;63.2
SIO;197404;-;-;46;953.8;-2.6;22.6;10.9;10.0;-;59.0
SIO;197405;-;-;60;956.7;2.0;27.4;54.6;13.3;-;63.2
SIO;197406;-;-;50;958.2;5.0;27.6;116.9;16.0;-;65.5
SIO;197407;-;-;46;961.6;7.2;32.0;19.9;18.5;-;62.1
SIO;197408;-;-;43;960.6;6.0;35.0;36.5;19.6;-;65.4
SIO;197409;-;-;51;959.3;0.6;28.7;77.9;14.0;-;74.1
SIO;197410;-;-;76;957.1;-3.2;14.6;102.2;5.4;-;78.0
SIO;197411;-;-;65;960.7;-4.6;17.8;87.7;4.3;-;77.1
SIO;197412;-;-;53;968.6;-9.5;11.0;58.1;2.0;-;79.7
SIO;197501;-;-;54;965.1;-5.6;14.0;78.1;2.5;-;79.2
SIO;197502;-;-;20;964.9;-5.0;17.8;2.8;2.8;-;66.6
SIO;197503;-;-;70;951.6;-6.4;17.6;34.8;5.1;-;66.0
SIO;197504;-;-;49;957.8;-2.6;24.2;29.7;9.7;-;62.3
SIO;197505;-;-;60;957.0;2.6;31.8;46.5;14.0;-;64.2
SIO;197506;-;-;56;959.5;3.0;30.6;26.8;16.3;-;63.6
SIO;197507;-;-;39;960.5;6.5;32.6;39.1;19.3;-;63.6
SIO;197508;-;-;53;961.0;6.8;32.8;35.7;18.7;-;70.4
SIO;197509;-;-;55;961.6;6.4;34.2;38.9;16.4;-;75.4
SIO;197510;-;-;40;963.9;-2.0;22.8;7.6;8.3;-;77.9
SIO;197511;-;-;56;960.3;-6.0;18.4;68.3;4.0;-;81.7
SIO;197512;-;-;45;965.9;-8.0;10.4;1.3;-1.0;-;83.5
SIO;197601;-;-;50;964.1;-10.6;13.0;8.2;0.6;-;73.3
SIO;197602;-;-;44;962.5;-7.0;15.0;50.1;1.8;-;76.6
SIO;197603;-;-;41;959.8;-6.8;22.0;7.8;5.4;-;65.6
SIO;197604;-;-;40;956.0;-3.0;24.2;47.2;9.8;-;58.0
SIO;197605;-;-;45;959.2;1.6;29.0;13.2;15.4;-;56.2
SIO;197606;-;-;35;961.8;5.4;32.0;25.2;19.7;-;54.9
SIO;197607;-;-;54;959.8;8.6;33.0;57.0;19.9;-;62.8
SIO;197608;-;-;44;961.1;7.5;29.8;43.3;17.5;-;63.2
SIO;197609;-;-;53;959.4;2.8;26.0;37.4;13.7;-;69.5
SIO;197610;-;-;61;953.4;0.0;24.2;53.1;11.2;-;73.1
SIO;197611;-;-;54;960.9;-6.2;16.0;52.1;4.0;-;73.8
SIO;197612;-;-;54;955.1;-12.2;7.8;129.2;-1.5;-;81.0
SIO;197701;-;-;71;957.5;-7.8;9.8;54.6;0.5;-;79.1
SIO;197702;-;-;66;956.1;-7.0;14.4;112.4;3.7;-;74.2
SIO;197703;-;-;61;962.3;-3.5;22.6;28.0;8.6;-;61.5
SIO;197704;-;-;71;958.3;-1.0;25.2;99.4;8.8;-;65.4
SIO;197705;-;-;66;957.1;1.2;28.0;51.4;13.3;-;63.5
SIO;197706;-;-;60;957.8;7.0;30.8;47.4;16.7;-;63.7
SIO;197707;-;-;53;957.9;7.4;29.6;60.0;18.7;-;65.3
SIO;197708;-;-;55;957.4;8.4;29.0;36.0;17.1;-;67.9
SIO;197709;-;-;36;964.3;1.6;27.6;8.5;14.0;-;68.7
SIO;197710;-;-;48;963.3;1.2;21.8;76.4;10.9;-;72.9
SIO;197711;-;-;55;959.0;-8.6;18.2;75.0;3.5;-;76.3
SIO;197712;-;-;50;964.4;-10.2;13.0;61.9;0.6;-;81.9
SIO;197801;-;4;64;956.6;-7.9;8.5;66.3;-0.3;3132;84.7
SIO;197802;-;13;75;951.0;-14.6;15.8;86.4;0.9;4536;77.4
SIO;197803;-;0;71;957.7;-3.7;19.4;109.4;5.4;7326;69.9
SIO;197804;-;0;68;951.0;-3.0;19.9;10.0;8.2;9816;64.7
SIO;197805;-;0;66;956.0;-0.4;24.9;41.2;12.3;10416;67.0
SIO;197806;-;0;63;958.0;2.5;28.3;86.2;15.8;11922;65.9
SIO;197807;-;0;55;960.1;5.2;29.9;31.7;17.4;13488;70.6
SIO;197808;-;0;48;960.9;4.7;28.2;53.7;16.3;14592;75.9
SIO;197809;-;0;40;962.5;2.3;25.8;13.8;13.2;14088;76.4
SIO;197810;-;0;31;964.8;-1.8;20.4;17.3;7.3;12234;79.5
SIO;197811;-;0;21;969.5;-13.4;13.6;0.6;0.6;9276;76.9
SIO;197812;-;0;61;953.2;-13.2;12.0;96.4;0.7;3120;83.1
SIO;197901;-;11;63;956.4;-20.6;7.6;74.1;-2.3;4626;79.6
SIO;197902;-;1;68;952.8;-9.3;14.9;69.9;2.5;6300;76.2
SIO;197903;-;0;74;954.2;-3.7;17.4;87.9;5.9;7500;69.0
SIO;197904;-;0;64;955.1;-3.0;20.6;20.6;7.6;11886;61.4
SIO;197905;-;0;53;960.3;-1.8;28.5;43.0;13.3;14448;60.1
SIO;197906;-;0;59;960.8;2.1;27.5;34.4;17.4;12744;66.7
SIO;197907;-;0;40;962.3;3.9;30.5;24.6;18.7;17154;60.0
SIO;197908;-;0;51;959.0;4.3;29.6;61.9;16.5;15264;68.9
SIO;197909;-;0;44;962.9;3.7;25.8;33.7;13.9;13188;75.0
SIO;197910;-;0;61;957.4;-0.1;24.6;72.6;10.7;8034;79.8
SIO;197911;-;0;49;961.0;-7.4;15.0;68.2;2.6;6360;79.9
SIO;197912;-;0;66;960.5;-9.0;12.4;106.1;1.4;2736;85.9
SIO;198001;-;14;65;959.3;-13.0;8.7;90.5;-1.6;3954;81.9
SIO;198002;-;7;45;964.4;-5.5;15.5;72.1;2.5;7884;77.0
SIO;198003;-;0;65;953.9;-4.1;16.1;65.5;4.9;8988;71.3
SIO;198004;-;0;55;959.2;-3.4;19.3;3.0;7.2;11592;63.6
SIO;198005;-;0;66;954.2;0.8;24.5;56.9;12.2;9960;66.3
SIO;198006;-;0;64;958.2;2.4;29.3;49.3;15.3;9996;68.3
SIO;198007;-;0;59;958.8;2.9;28.8;88.5;16.4;11622;71.0
SIO;198008;-;0;48;960.9;4.8;30.5;26.4;18.4;13926;73.1
SIO;198009;-;0;30;964.3;5.1;26.6;33.8;14.6;15648;76.0
SIO;198010;-;0;56;958.0;-1.2;20.6;121.7;7.6;8166;81.0
SIO;198011;-;0;63;959.4;-6.1;14.4;23.1;2.7;4932;80.3
SIO;198012;-;1;50;964.5;-14.2;8.0;16.8;-2.1;4080;79.9
SIO;198101;52;13;54;965.6;-15.0;6.2;86.6;-2.7;5105;76.4
SIO;198102;108;6;41;962.3;-10.3;9.7;11.3;-0.5;8782;70.5
SIO;198103;124;0;74;956.8;-5.3;24.4;95.5;7.7;7283;69.0
SIO;198104;218;0;54;958.2;-1.0;25.7;10.0;11.3;13163;61.2
SIO;198105;209;0;68;956.4;1.8;29.0;62.3;13.5;9024;64.8
SIO;198106;253;0;54;960.9;4.3;31.0;26.6;17.5;13566;61.9
SIO;198107;234;0;54;961.8;5.8;30.6;51.8;17.5;12619;66.8
SIO;198108;236;0;35;961.9;4.5;31.9;18.1;18.3;16452;65.3
SIO;198109;137;0;69;960.7;1.0;27.3;52.7;14.8;7693;76.8
SIO;198110;93;0;66;959.0;-3.5;22.4;108.6;8.9;6442;78.4
SIO;198111;68;0;41;968.8;-8.1;17.2;40.3;3.0;7117;75.3
SIO;198112;35;7;78;949.1;-12.1;7.7;140.3;0.5;2148;77.5
SIO;198201;53;1;56;963.1;-7.0;13.0;62.7;1.2;5240;80.2
SIO;198202;100;0;48;962.8;-7.2;16.4;3.8;2.4;8087;71.9
SIO;198203;147;0;61;961.3;-5.9;19.0;60.1;4.3;9834;66.7
SIO;198204;241;0;39;958.5;-1.3;21.6;8.4;9.2;16103;56.7
SIO;198205;254;0;48;962.7;-0.4;27.1;25.0;13.1;14330;63.0
SIO;198206;244;0;59;960.0;5.3;29.5;40.2;17.1;11977;65.2
SIO;198207;257;0;48;960.7;7.3;30.7;52.7;19.7;15491;66.4
SIO;198208;199;0;56;960.7;4.3;30.5;72.0;16.7;11832;74.3
SIO;198209;168;0;40;963.0;3.7;28.3;28.3;15.2;13252;75.4
SIO;198210;107;0;55;958.6;-2.1;18.8;108.3;8.3;8006;80.5
SIO;198211;66;0;49;962.0;-2.6;15.5;23.5;4.6;5964;76.4
SIO;198212;39;0;59;961.0;-9.1;11.6;110.6;0.5;3500;83.1
SIO;198301;50;0;53;973.1;-8.9;12.1;54.8;0.8;4664;79.7
SIO;198302;95;19;53;960.7;-14.6;12.6;47.0;-2.4;6135;77.1
SIO;198303;145;1;54;961.3;-5.1;19.0;6.1;5.9;9271;65.8
SIO;198304;185;0;74;955.2;-2.0;23.8;55.3;9.5;8168;65.0
