stn;time;gre000m0;hto000m0;nto000m0;prestam0;ure200m0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx
CHM;187501;-;-;-;-;-;62.2;-0.2;-;-;-
CHM;187502;-;-;-;-;-;18.2;-5.3;-;-;-
CHM;187503;-;-;-;-;-;21.7;-0.5;-;-;-
CHM;187504;-;-;-;-;-;27.2;5.7;-;-;-
CHM;187505;-;-;-;-;-;89.0;11.6;-;-;-
CHM;187506;-;-;-;-;-;108.8;13.1;-;-;-
CHM;187507;-;-;-;-;-;156.4;13.1;-;-;-
CHM;187508;-;-;-;-;-;174.5;15.5;-;-;-
CHM;187509;-;-;-;-;-;81.9;13.1;-;-;-
CHM;187510;-;-;-;-;-;148.0;5.0;-;-;-
CHM;187511;-;-;-;-;-;163.6;-0.1;-;-;-
CHM;187512;-;-;-;-;-;8.6;-3.6;-;-;-
CHM;187601;-;-;-;-;-;14.0;-2.0;-;-;-
CHM;187602;-;-;-;-;-;84.7;-0.6;-;-;-
CHM;187603;-;-;-;-;-;121.7;0.1;-;-;-
CHM;187604;-;-;-;-;-;144.1;4.3;-;-;-
CHM;187605;-;-;-;-;-;39.5;5.8;-;-;-
CHM;187606;-;-;-;-;-;90.6;12.8;-;-;-
CHM;187607;-;-;-;-;-;31.5;15.7;-;-;-
CHM;187608;-;-;-;-;-;170.3;15.6;-;-;-
CHM;187609;-;-;-;-;-;124.4;9.6;-;-;-
CHM;187610;-;-;-;-;-;1.5;9.2;-;-;-
CHM;187611;-;-;-;-;-;83.8;0.7;-;-;-
CHM;187612;-;-;-;-;-;76.2;2.0;-;-;-
CHM;187701;-;-;-;-;-;54.0;0.4;-;-;-
CHM;187702;-;-;-;-;-;99.9;-0.7;-;-;-
CHM;187703;-;-;-;-;-;104.3;-1.1;-;-;-
CHM;187704;-;-;-;-;-;46.7;4.4;-;-;-
CHM;187705;-;-;-;-;-;219.6;6.1;-;-;-
CHM;187706;-;-;-;-;-;77.1;15.2;-;-;-
CHM;187707;-;-;-;-;-;147.3;13.3;-;-;-
CHM;187708;-;-;-;-;-;115.7;14.8;-;-;-
CHM;187709;-;-;-;-;-;49.8;8.6;-;-;-
CHM;187710;-;-;-;-;-;57.3;4.2;-;-;-
CHM;187711;-;-;-;-;-;116.8;2.6;-;-;-
CHM;187712;-;-;-;-;-;64.8;-2.6;-;-;-
CHM;187801;-;-;-;-;-;35.0;-4.1;-;-;-
CHM;187802;-;-;-;-;-;20.3;1.0;-;-;-
CHM;187803;-;-;-;-;-;50.2;-1.2;-;-;-
CHM;187804;-;-;-;-;-;145.5;4.6;-;-;-
CHM;187805;-;-;-;-;-;144.8;9.9;-;-;-
CHM;187806;-;-;-;-;-;152.2;11.8;-;-;-
CHM;187807;-;-;-;-;-;106.6;13.4;-;-;-
CHM;187808;-;-;-;-;-;136.6;13.5;-;-;-
CHM;187809;-;-;-;-;-;43.4;10.7;-;-;-
CHM;187810;-;-;-;-;-;127.0;6.8;-;-;-
CHM;187811;-;-;-;-;-;59.7;-0.8;-;-;-
CHM;187812;-;-;-;-;-;108.7;-4.6;-;-;-
CHM;187901;-;-;-;-;-;79.4;-1.8;-;-;-
CHM;187902;-;-;-;-;-;133.6;-1.7;-;-;-
CHM;187903;-;-;-;-;-;43.6;2.0;-;-;-
CHM;187904;-;-;-;-;-;60.3;1.9;-;-;-
CHM;187905;-;-;-;-;-;113.3;4.6;-;-;-
CHM;187906;-;-;-;-;-;107.3;12.2;-;-;-
CHM;187907;-;-;-;-;-;188.3;11.2;-;-;-
CHM;187908;-;-;-;-;-;101.0;15.5;-;-;-
CHM;187909;-;-;-;-;-;133.6;10.5;-;-;-
CHM;187910;-;-;-;-;-;101.9;5.5;-;-;-
CHM;187911;-;-;-;-;-;75.3;-1.8;-;-;-
CHM;187912;-;-;-;-;-;34.3;-4.5;-;-;-
CHM;188001;-;-;-;-;-;23.5;-3.2;-;-;-
CHM;188002;-;-;-;-;-;22.5;0.8;-;-;-
CHM;188003;-;-;-;-;-;12.0;4.8;-;-;-
CHM;188004;-;-;-;-;-;182.8;5.1;-;-;-
CHM;188005;-;-;-;-;-;17.7;7.7;-;-;-
CHM;188006;-;-;-;-;-;150.6;10.4;-;-;-
CHM;188007;-;-;-;-;-;114.9;15.5;-;-;-
CHM;188008;-;-;-;-;-;130.5;13.4;-;-;-
CHM;188009;-;-;-;-;-;85.1;11.5;-;-;-
CHM;188010;-;-;-;-;-;214.5;6.8;-;-;-
CHM;188011;-;-;-;-;-;34.4;2.1;-;-;-
CHM;188012;-;-;-;-;-;69.1;2.2;-;-;-
CHM;188101;-;-;-;-;-;59.6;-5.4;-;-;-
CHM;188102;-;-;-;-;-;50.3;1.1;-;-;-
CHM;188103;-;-;-;-;-;72.8;3.0;-;-;-
CHM;188104;-;-;-;-;-;106.0;4.5;-;-;-
CHM;188105;-;-;-;-;-;51.1;8.1;-;-;-
CHM;188106;-;-;-;-;-;109.6;11.9;-;-;-
CHM;188107;-;-;-;-;-;39.7;17.5;-;-;-
CHM;188108;-;-;-;-;-;156.8;14.4;-;-;-
CHM;188109;-;-;-;-;-;132.9;9.1;-;-;-
CHM;188110;-;-;-;-;-;103.5;1.8;-;-;-
CHM;188111;-;-;-;-;-;68.7;5.1;-;-;-
CHM;188112;-;-;-;-;-;49.2;-0.8;-;-;-
CHM;188201;-;-;-;-;-;15.5;1.9;-;-;-
CHM;188202;-;-;-;-;-;23.1;0.3;-;-;-
CHM;188203;-;-;-;-;-;42.0;3.7;-;-;-
CHM;188204;-;-;-;-;-;87.2;4.4;-;-;-
CHM;188205;-;-;-;-;-;67.7;9.2;-;-;-
CHM;188206;-;-;-;-;-;134.5;10.8;-;-;-
CHM;188207;-;-;-;-;-;133.2;12.7;-;-;-
CHM;188208;-;-;-;-;-;104.8;12.2;-;-;-
CHM;188209;-;-;-;-;-;244.9;9.1;-;-;-
CHM;188210;-;-;-;-;-;148.7;6.8;-;-;-
CHM;188211;-;-;-;-;-;201.4;1.7;-;-;-
CHM;188212;-;-;-;-;-;145.8;0.3;-;-;-
CHM;188301;-;-;-;-;-;60.4;-0.6;-;-;-
CHM;188302;-;-;-;-;-;20.8;1.5;-;-;-
CHM;188303;-;-;-;-;-;43.2;-2.5;-;-;-
CHM;188304;-;-;-;-;-;38.8;4.4;-;-;-
CHM;188305;-;-;-;-;-;96.4;9.4;-;-;-
CHM;188306;-;-;-;-;-;93.7;12.1;-;-;-
CHM;188307;-;-;-;-;-;187.0;13.1;-;-;-
CHM;188308;-;-;-;-;-;48.5;14.0;-;-;-
CHM;188309;-;-;-;-;-;119.8;9.9;-;-;-
CHM;188310;-;-;-;-;-;107.7;6.1;-;-;-
CHM;188311;-;-;-;-;-;73.3;2.2;-;-;-
CHM;188312;-;-;-;-;-;81.1;-1.8;-;-;-
CHM;188401;-;-;-;-;-;51.2;1.1;-;-;-
CHM;188402;-;-;-;-;-;42.2;1.6;-;-;-
CHM;188403;-;-;-;-;-;6.3;4.2;-;-;-
CHM;188404;-;-;-;-;-;56.6;4.8;-;-;-
CHM;188405;-;-;-;-;-;61.1;10.9;-;-;-
CHM;188406;-;-;-;-;-;52.4;9.0;-;-;-
CHM;188407;-;-;-;-;-;103.9;16.0;-;-;-
CHM;188408;-;-;-;-;-;103.0;15.0;-;-;-
CHM;188409;-;-;-;-;-;47.4;12.3;-;-;-
CHM;188410;-;-;-;-;-;26.3;4.1;-;-;-
CHM;188411;-;-;-;-;-;15.6;0.3;-;-;-
CHM;188412;-;-;-;-;-;97.0;-1.0;-;-;-
CHM;188501;-;-;-;-;-;29.6;-2.9;-;-;-
CHM;188502;-;-;-;-;-;77.7;2.0;-;-;-
CHM;188503;-;-;-;-;-;34.7;0.7;-;-;-
CHM;188504;-;-;-;-;-;11.1;5.5;-;-;-
CHM;188505;-;-;-;-;-;125.1;5.5;-;-;-
CHM;188506;-;-;-;-;-;75.5;15.5;-;-;-
CHM;188507;-;-;-;-;-;21.7;16.6;-;-;-
CHM;188508;-;-;-;-;-;76.6;14.0;-;-;-
CHM;188509;-;-;-;-;-;168.5;10.2;-;-;-
CHM;188510;-;-;-;-;-;215.9;3.8;-;-;-
CHM;188511;-;-;-;-;-;74.3;2.4;-;-;-
CHM;188512;-;-;-;-;-;44.7;-0.4;-;-;-
CHM;188601;-;-;-;-;-;59.6;-3.2;-;-;-
CHM;188602;-;-;-;-;-;33.2;-2.8;-;-;-
CHM;188603;-;-;-;-;-;83.3;0.6;-;-;-
CHM;188604;-;-;-;-;-;62.1;7.4;-;-;-
CHM;188605;-;-;-;-;-;84.7;10.5;-;-;-
CHM;188606;-;-;-;-;-;126.8;11.4;-;-;-
CHM;188607;-;-;-;-;-;103.1;16.5;-;-;-
CHM;188608;-;-;-;-;-;77.9;14.5;-;-;-
CHM;188609;-;-;-;-;-;44.0;14.5;-;-;-
CHM;188610;-;-;-;-;-;142.0;8.8;-;-;-
CHM;188611;-;-;-;-;-;100.0;2.2;-;-;-
CHM;188612;-;-;-;-;-;160.1;-3.2;-;-;-
CHM;188701;-;-;-;-;-;14.2;-2.7;-;-;-
CHM;188702;-;-;-;-;-;1.2;-2.1;-;-;-
CHM;188703;-;-;-;-;-;110.2;-0.1;-;-;-
CHM;188704;-;-;-;-;-;49.0;5.4;-;-;-
CHM;188705;-;-;-;-;-;87.3;6.9;-;-;-
CHM;188706;-;-;-;-;-;54.8;15.3;-;-;-
CHM;188707;-;-;-;-;-;68.6;17.8;-;-;-
CHM;188708;-;-;-;-;-;172.7;15.2;-;-;-
CHM;188709;-;-;-;-;-;66.5;11.2;-;-;-
CHM;188710;-;-;-;-;-;61.6;2.0;-;-;-
CHM;188711;-;-;-;-;-;59.5;1.5;-;-;-
CHM;188712;-;-;-;-;-;120.0;-3.7;-;-;-
CHM;188801;-;-;-;-;-;43.7;-2.3;-;-;-
CHM;188802;-;-;-;-;-;57.6;-3.6;-;-;-
CHM;188803;-;-;-;-;-;132.5;-1.0;-;-;-
CHM;188804;-;-;-;-;-;135.6;2.6;-;-;-
CHM;188805;-;-;-;-;-;39.4;10.9;-;-;-
CHM;188806;-;-;-;-;-;158.3;13.0;-;-;-
CHM;188807;-;-;-;-;-;126.9;11.9;-;-;-
CHM;188808;-;-;-;-;-;76.6;12.9;-;-;-
CHM;188809;-;-;-;-;-;69.8;11.8;-;-;-
CHM;188810;-;-;-;-;-;109.2;4.8;-;-;-
CHM;188811;-;-;-;-;-;57.5;3.3;-;-;-
CHM;188812;-;-;-;-;-;4.0;2.5;-;-;-
CHM;188901;-;-;-;-;-;18.5;-2.7;-;-;-
CHM;188902;-;-;-;-;-;130.0;-5.3;-;-;-
CHM;188903;-;-;-;-;-;54.1;-1.9;-;-;-
CHM;188904;-;-;-;-;-;38.4;3.3;-;-;-
CHM;188905;-;-;-;-;-;115.6;10.5;-;-;-
CHM;188906;-;-;-;-;-;257.4;13.7;-;-;-
CHM;188907;-;-;-;-;-;71.9;13.6;-;-;-
CHM;188908;-;-;-;-;-;90.4;12.8;-;-;-
CHM;188909;-;-;-;-;-;37.8;9.7;-;-;-
CHM;188910;-;-;-;-;-;172.0;5.4;-;-;-
CHM;188911;-;-;-;-;-;39.1;3.2;-;-;-
CHM;188912;-;-;-;-;-;35.3;-4.0;-;-;-
CHM;189001;-;-;-;-;-;62.0;2.7;-;-;-
CHM;189002;-;-;-;-;-;8.0;-3.9;-;-;-
CHM;189003;-;-;-;-;-;18.5;1.4;-;-;-
CHM;189004;-;-;-;-;-;70.3;3.6;-;-;-
CHM;189005;-;-;-;-;-;112.3;9.6;-;-;-
CHM;189006;-;-;-;-;-;114.5;11.0;-;-;-
CHM;189007;-;-;-;-;-;91.7;12.1;-;-;-
CHM;189008;-;-;-;-;-;216.8;12.8;-;-;-
CHM;189009;-;-;-;-;-;36.3;10.6;-;-;-
CHM;189010;-;-;-;-;-;114.5;5.1;-;-;-
CHM;189011;-;-;-;-;-;118.8;-0.1;-;-;-
CHM;189012;-;-;-;-;-;28.3;-4.4;-;-;-
CHM;189101;-;-;-;-;-;46.1;-6.4;-;-;-
CHM;189102;-;-;-;-;-;3.7;-1.0;-;-;-
CHM;189103;-;-;-;-;-;77.1;0.2;-;-;-
CHM;189104;-;-;-;-;-;66.2;2.1;-;-;-
CHM;189105;-;-;-;-;-;106.5;8.1;-;-;-
CHM;189106;-;-;-;-;-;192.6;12.1;-;-;-
CHM;189107;-;-;-;-;-;164.4;12.6;-;-;-
CHM;189108;-;-;-;-;-;94.6;12.4;-;-;-
CHM;189109;-;-;-;-;-;76.3;12.1;-;-;-
CHM;189110;-;-;-;-;-;98.1;7.8;-;-;-
CHM;189111;-;-;-;-;-;134.9;1.1;-;-;-
