stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;ure200m0;sre000m0;tre200m0;tre200mn;tre200mx
SAE;188002;-;-;-;-;-;-;-;-7.1;-;-
SAE;188003;-;-;-;-;-;-;-;-4.4;-;-
SAE;188004;-;-;-;-;-;-;-;-4.0;-;-
SAE;188005;-;-;-;-;-;-;-;-2.0;-;-
SAE;188006;-;-;-;-;-;-;-;0.7;-;-
SAE;188007;-;-;-;-;-;-;-;5.9;-;-
SAE;188008;-;-;-;-;-;-;-;3.5;-;-
SAE;188009;-;-;-;-;-;-;-;2.6;-;-
SAE;188010;-;-;-;-;-;-;-;-0.6;-;-
SAE;188011;-;-;-;-;-;-;-;-4.3;-;-
SAE;188012;-;-;-;-;-;-;-;-5.9;-;-
SAE;188101;-;-;-;-;-;-;-;-11.8;-;-
SAE;188102;-;-;-;-;-;-;-;-7.6;-;-
SAE;188103;-;-;-;-;-;-;-;-5.5;-;-
SAE;188104;-;-;-;-;-;-;-;-4.4;-;-
SAE;188105;-;-;-;-;-;-;-;-1.5;-;-
SAE;188106;-;-;-;-;-;-;-;1.8;-;-
SAE;188107;-;-;-;-;-;-;-;7.8;-;-
SAE;188108;-;-;-;-;-;-;-;5.1;-;-
SAE;188109;-;-;-;-;-;-;-;0.7;-;-
SAE;188110;-;-;-;-;-;-;-;-6.0;-;-
SAE;188111;-;-;-;-;-;-;-;-1.5;-;-
SAE;188112;-;-;-;-;-;-;-;-7.4;-;-
SAE;188201;-;-;-;-;-;-;-;-4.3;-;-
SAE;188202;-;-;-;-;-;-;-;-6.8;-;-
SAE;188203;-;-;-;-;-;-;-;-5.1;-;-
SAE;188204;-;-;-;-;-;-;-;-4.7;-;-
SAE;188205;-;-;-;-;-;-;-;0.0;-;-
SAE;188206;-;-;-;-;-;-;-;1.7;-;-
SAE;188207;-;-;-;-;-;-;-;3.4;-;-
SAE;188208;-;-;-;-;-;-;-;2.3;-;-
SAE;188209;-;-;64;751.4;110.8;92.7;-;2.2;-5.0;-
SAE;188210;-;-;63;751.6;156.2;88.9;-;-0.6;-8.0;-
SAE;188211;-;-;80;745.7;158.6;91.4;-;-6.4;-16.2;-
SAE;188212;-;-;62;744.3;63.5;92.7;-;-7.2;-17.5;-
SAE;188301;-;-;-;-;33.0;-;-;-9.0;-;-
SAE;188302;-;-;55;754.6;17.6;78.3;-;-6.5;-14.0;-
SAE;188303;-;-;69;739.9;70.1;84.8;-;-10.5;-22.5;-
SAE;188304;-;-;65;748.1;80.2;84.9;-;-4.7;-13.0;-
SAE;188305;-;-;68;752.2;119.3;85.9;-;0.7;-9.4;-
SAE;188306;-;-;78;755.2;231.6;90.6;-;3.2;-4.0;-
SAE;188307;-;-;77;756.1;383.8;92.5;-;3.4;-4.0;-
SAE;188308;-;-;56;759.4;177.2;82.0;-;4.6;-;-
SAE;188309;-;-;73;753.9;239.5;87.2;-;1.6;-5.0;-
SAE;188310;-;-;49;754.0;111.7;74.3;-;-0.9;-8.4;-
SAE;188311;-;-;57;750.2;100.2;76.6;-;-5.2;-13.0;-
SAE;188312;-;-;59;-;122.2;81.4;-;-8.4;-17.6;-
SAE;188401;-;-;57;754.8;162.7;82.1;-;-6.8;-14.1;-
SAE;188402;-;-;54;750.7;55.5;78.4;-;-6.0;-12.8;-
SAE;188403;-;-;46;748.8;47.7;71.1;-;-4.9;-11.1;-
SAE;188404;-;-;70;743.3;70.7;84.4;-;-3.9;-9.8;-
SAE;188405;-;-;55;755.7;99.2;79.5;-;1.8;-7.6;-
SAE;188406;-;-;80;752.9;260.6;91.7;-;-0.2;-6.2;-
SAE;188407;-;-;66;759.3;292.5;82.5;-;5.9;-2.8;-
SAE;188408;-;-;57;759.0;265.0;77.4;-;5.9;-;-
SAE;188409;-;-;47;758.6;105.4;72.5;-;4.1;-4.8;-
SAE;188410;-;-;72;753.3;170.3;90.1;-;-3.1;-11.3;-
SAE;188411;-;-;40;752.1;51.5;76.8;-;-6.7;-19.5;-
SAE;188412;-;-;60;746.7;81.2;81.6;-;-7.1;-16.6;-
SAE;188501;-;-;26;746.0;12.5;66.4;-;-8.6;-18.6;-
SAE;188502;-;-;53;748.7;61.9;74.8;-;-4.8;-12.5;-
SAE;188503;-;-;58;746.9;56.8;80.9;-;-5.8;-16.0;-
SAE;188504;-;-;62;-;35.8;83.7;-;-2.2;-9.6;-
SAE;188505;-;-;78;749.6;129.8;90.4;-;-1.6;-10.4;-
SAE;188506;-;-;54;757.7;96.2;75.7;-;5.5;-5.2;-
SAE;188507;-;-;52;760.7;111.4;77.3;-;6.8;1.5;-
SAE;188508;-;-;71;755.6;113.4;86.3;-;5.0;-2.0;-
SAE;188509;-;-;61;755.8;246.5;82.4;-;3.1;-7.9;-
SAE;188510;-;-;72;746.5;142.2;88.3;-;-3.3;-12.0;-
SAE;188511;-;-;58;749.2;169.2;83.2;-;-2.5;-10.7;-
SAE;188512;-;-;-;-;178.3;76.4;-;-6.9;-21.4;-
SAE;188601;-;-;66;739.9;74.5;85.2;-;-9.6;-18.4;-
SAE;188602;-;-;40;746.2;26.2;83.0;-;-8.9;-19.9;-
SAE;188603;-;-;52;747.7;72.3;76.6;-;-7.0;-22.1;-
SAE;188604;-;-;63;749.8;100.5;75.0;-;-1.2;-11.3;-
SAE;188605;-;-;58;754.3;68.2;73.0;-;1.3;-13.3;-
SAE;188606;-;-;89;753.0;392.0;94.1;-;1.5;-4.6;-
SAE;188607;-;-;54;758.5;218.1;81.2;-;6.1;-3.3;-
SAE;188608;-;-;65;758.5;277.9;84.8;-;5.9;-1.3;-
SAE;188609;-;-;40;760.0;111.3;75.6;-;5.9;-6.5;-
SAE;188610;-;-;55;753.4;102.8;80.9;-;1.6;-;-
SAE;188611;-;-;61;750.0;96.5;82.3;-;-4.1;-13.6;-
SAE;188612;-;-;77;741.3;141.0;91.0;-;-9.5;-21.4;-
SAE;188701;-;-;28;748.8;12.5;65.1;-;-7.2;-16.5;-
SAE;188702;-;-;28;753.2;15.9;63.4;-;-8.4;-22.6;-
SAE;188703;-;-;58;747.5;110.3;75.6;-;-6.2;-21.1;-
SAE;188704;-;-;47;748.5;51.7;72.8;-;-3.1;-16.6;-
SAE;188705;-;-;79;750.3;205.1;89.8;-;-1.8;-11.3;-
SAE;188706;-;-;58;759.3;110.4;81.1;-;4.3;-4.0;-
SAE;188707;-;-;59;760.8;264.3;81.4;-;8.0;-1.0;-
SAE;188708;-;-;56;757.8;181.7;81.7;-;5.6;-4.2;-
SAE;188709;-;-;51;754.8;80.0;76.4;-;2.7;-6.3;-
SAE;188710;-;-;57;747.7;153.9;76.2;-;-4.9;-16.3;-
SAE;188711;-;-;66;741.0;85.6;79.8;-;-5.3;-13.4;-
SAE;188712;-;-;69;739.6;275.6;87.4;4008;-10.3;-24.2;-
SAE;188801;-;-;38;749.1;111.6;65.7;10224;-8.9;-;-
SAE;188802;-;-;68;737.1;173.7;86.7;6534;-10.5;-;-
SAE;188803;-;-;69;736.4;144.5;88.4;6648;-8.5;-;-
SAE;188804;-;-;64;742.4;284.8;88.7;8328;-4.9;-;-
SAE;188805;-;-;51;752.7;139.2;83.2;13356;0.8;-;-
SAE;188806;-;-;65;752.7;383.6;86.6;10374;4.0;-;-
SAE;188807;-;-;84;750.8;465.4;93.1;5424;2.4;-;-
SAE;188808;-;-;62;755.9;278.3;80.7;9594;4.3;-;-
SAE;188809;-;-;56;756.0;250.0;84.4;10272;3.7;-;-
SAE;188810;-;-;45;750.3;150.6;68.1;10308;-2.7;-;-
SAE;188811;-;-;55;747.7;200.3;74.4;7961;-3.2;-;-
SAE;188812;-;-;31;750.0;41.3;52.6;10560;-3.9;-;-
SAE;188901;-;-;36;746.6;128.3;59.8;9786;-8.0;-;-
SAE;188902;-;-;85;735.8;533.5;95.3;2502;-12.6;-;-
SAE;188903;-;-;64;741.9;106.5;84.3;7374;-9.7;-;-
SAE;188904;-;-;64;740.4;143.4;89.6;8400;-5.6;-;-
SAE;188905;-;-;69;749.0;121.3;84.2;8952;2.6;-;-
SAE;188906;-;-;70;753.5;342.5;85.8;7841;5.4;-;-
SAE;188907;-;-;70;754.0;234.4;88.8;9264;4.2;-;-
SAE;188908;-;-;70;754.8;259.0;88.5;8190;4.0;-;-
SAE;188909;-;-;64;751.6;304.7;85.5;7811;0.4;-;-
