stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
RAG;188108;-;-;-;954.5;184.0;18.4;-;-;-;-
RAG;188109;-;-;-;954.9;298.0;13.1;-;-;-;-
RAG;188110;-;-;-;952.6;142.5;6.9;-;-;-;-
RAG;188111;-;-;-;961.5;10.0;6.2;-;-;-;-
RAG;188112;-;-;-;957.5;24.5;1.1;-;-;-;-
RAG;188201;-;-;-;968.5;10.0;-1.4;-;-;-;-
RAG;188202;-;-;-;964.4;18.5;0.7;-;-;-;-
RAG;188203;-;-;-;957.4;71.5;7.1;-;-;-;-
RAG;188204;-;-;-;950.9;75.5;9.7;-;-;-;-
RAG;188205;-;-;-;956.2;70.5;14.3;-;-;-;-
RAG;188206;-;-;-;955.0;230.5;15.5;-;-;-;-
RAG;188207;-;-;-;954.6;164.5;17.0;-;-;-;-
RAG;188208;-;-;-;955.4;243.3;15.7;-;-;-;-
RAG;188209;-;-;-;951.8;231.0;13.2;-;-;-;-
RAG;188210;-;-;-;953.6;282.0;11.4;-;-;-;-
RAG;188211;-;-;-;951.2;92.5;4.9;-;-;-;-
RAG;188212;-;-;-;949.9;118.0;2.1;-;-;-;-
RAG;188301;-;-;-;954.8;60.5;2.3;-;-;-;-
RAG;188302;-;-;-;961.4;20.5;4.5;-;-;-;-
RAG;188303;-;-;-;947.3;29.5;1.4;-;-;-;-
RAG;188304;-;-;-;951.3;29.5;8.6;-;-;-;-
RAG;188305;-;-;-;951.9;167.0;13.2;-;-;-;-
RAG;188306;-;-;-;953.5;247.0;16.2;-;-;-;-
RAG;188307;-;-;-;954.1;261.0;17.0;-;-;-;-
RAG;188308;-;-;-;957.7;97.5;17.1;-;-;-;-
RAG;188309;-;-;-;953.8;0.0;14.1;-;-;-;-
RAG;188310;-;-;-;956.5;126.5;8.0;-;-;-;-
RAG;188311;-;-;-;955.3;115.5;4.6;-;-;-;-
RAG;188312;-;-;-;958.1;103.0;-1.5;-;-;-;-
RAG;188401;-;-;-;962.1;53.0;1.2;-;-;-;-
RAG;188402;-;-;-;956.5;22.0;4.1;-;-;-;-
RAG;188403;-;-;-;953.5;4.0;7.4;-;-;-;-
RAG;188404;-;-;-;945.6;59.0;8.9;-;-;-;-
RAG;188405;-;-;-;955.0;48.0;15.2;-;-;-;-
RAG;188406;-;-;-;952.9;21.5;14.0;-;-;-;-
RAG;188407;-;-;-;956.5;277.5;19.4;-;-;-;-
RAG;188408;-;-;-;956.8;190.5;18.0;-;-;-;-
RAG;188409;-;-;-;958.0;106.5;14.9;-;-;-;-
