stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
SBE;197608;-;0;70;839.2;168.2;9.7;2.0;19.5;69.4;9858
SBE;197609;-;0;71;836.5;524.6;6.1;-2.8;15.1;75.9;7170
SBE;197610;-;2;74;831.4;523.2;4.2;-3.0;18.0;79.7;4692
SBE;197611;-;55;66;833.6;216.5;-1.5;-9.7;7.5;75.5;4026
SBE;197612;-;72;54;826.8;51.6;-5.7;-18.2;5.0;71.2;4500
SBE;197701;-;144;65;829.8;196.6;-4.9;-18.0;5.0;75.3;3210
SBE;197702;-;165;61;828.9;154.3;-3.1;-15.2;7.4;72.3;5130
SBE;197703;-;163;68;836.3;145.1;0.7;-8.8;12.5;69.2;7506
SBE;197704;-;125;69;831.5;232.8;0.4;-9.3;12.6;68.9;9582
SBE;197705;-;29;84;834.2;309.7;4.4;-2.6;16.5;80.7;6132
SBE;197706;-;0;80;835.8;164.0;8.5;3.0;20.1;78.3;6732
SBE;197707;-;0;65;836.5;257.1;11.0;3.5;20.5;74.8;9948
SBE;197708;-;0;76;835.9;427.3;9.5;3.9;17.9;78.3;6666
SBE;197709;-;0;51;840.3;15.1;8.1;-2.3;20.2;67.6;11142
SBE;197710;-;0;60;840.1;335.2;4.8;-3.0;13.6;78.4;6438
SBE;197711;-;11;58;831.2;46.2;-1.2;-13.7;15.8;67.4;5604
SBE;197712;-;36;51;836.2;61.6;-2.3;-11.7;8.9;62.9;5256
SBE;197801;-;101;65;829.1;170.2;-4.2;-14.6;7.6;68.0;4752
SBE;197802;-;151;73;824.5;156.2;-4.9;-16.4;7.0;75.2;3618
SBE;197803;-;159;73;831.1;141.8;-1.3;-12.7;8.8;70.7;4788
SBE;197804;-;145;79;827.1;197.2;0.0;-11.6;7.6;75.1;6342
SBE;197805;-;80;75;832.6;203.6;3.9;-3.1;13.6;73.6;7770
SBE;197806;-;0;68;835.9;193.5;7.9;0.0;17.5;69.3;10164
SBE;197807;-;0;66;838.4;197.5;10.6;3.0;20.5;71.4;10236
SBE;197808;-;0;59;839.0;311.6;10.5;1.7;20.8;72.3;12030
SBE;197809;-;0;45;838.6;16.6;9.5;0.3;21.0;58.4;11598
SBE;197810;-;3;39;839.6;68.0;5.0;-1.5;17.3;55.0;9528
SBE;197811;-;0;23;841.6;7.5;0.6;-10.5;15.1;55.2;8946
SBE;197812;-;21;59;827.4;135.8;-2.7;-12.2;11.5;70.7;4674
SBE;197901;-;63;64;827.4;127.9;-6.7;-20.0;3.5;65.5;3438
SBE;197902;-;109;64;826.2;59.0;-3.6;-16.3;6.5;70.2;5298
SBE;197903;-;136;74;828.1;281.9;-1.4;-10.6;9.5;75.8;5070
SBE;197904;-;147;69;829.4;113.7;-0.7;-9.9;9.5;65.3;8268
SBE;197905;-;79;68;837.3;202.0;4.3;-10.0;18.0;67.7;8934
SBE;197906;-;0;71;838.7;113.4;10.2;1.3;20.0;70.1;9036
SBE;197907;-;0;60;840.3;192.5;11.6;3.9;20.0;65.3;11166
SBE;197908;-;0;63;836.9;224.1;10.1;1.2;20.3;72.0;10182
SBE;197909;-;0;53;840.2;147.7;8.1;-0.4;18.4;73.5;10914
SBE;197910;-;0;74;835.4;456.3;4.6;-3.0;16.4;78.5;4632
SBE;197911;-;17;58;832.8;118.9;-0.4;-10.6;15.0;58.5;5610
SBE;197912;-;26;56;832.0;125.2;-1.4;-13.0;11.8;64.4;4338
SBE;198001;-;55;59;830.2;62.6;-5.9;-15.0;3.9;66.5;4494
SBE;198002;-;62;46;836.0;22.0;-2.5;-13.7;8.3;56.7;7104
SBE;198003;-;82;68;827.5;135.9;-1.6;-10.0;9.2;68.1;6306
SBE;198004;-;51;68;831.9;9.8;-0.6;-8.6;10.3;57.1;9516
SBE;198005;-;0;80;831.1;198.4;4.1;-1.6;13.0;69.2;6702
SBE;198006;-;0;71;834.9;266.3;8.1;0.9;20.2;66.3;8718
SBE;198007;-;0;65;836.1;353.1;10.1;2.8;20.6;67.3;9336
SBE;198008;-;0;58;839.4;59.9;12.8;0.3;22.0;72.1;10722
SBE;198009;-;0;53;841.7;32.6;10.0;-0.1;21.5;64.0;10908
SBE;198010;-;4;58;833.0;340.2;3.5;-3.6;17.0;67.7;6828
